,D,eigen_values_obs,pos,vel,des_vel,normals,dists
17,"[[13.96307486  7.79696215 -2.45446805]
 [ 7.79696215 42.96805929 -9.74868296]
 [-2.45446805 -9.74868296 15.06886584]]",,[0.65824758 0.07099901 0.26003236],[ 0.03727129 -0.15254792  0.07548677],[-0.05837907 -0.23187064  0.07299241],"[[ 0.96076709]
 [-0.04178175]
 [ 0.27419132]]",[0.80591689]
18,"[[14.39499255  8.67258383 -2.29565503]
 [ 8.67258383 43.40456971 -8.31286958]
 [-2.29565503 -8.31286958 14.20043775]]",,[0.65853015 0.06924902 0.26075223],[ 0.02392099 -0.17955345  0.07243343],[-0.06448235 -0.23349908  0.0618078 ],"[[ 0.95991279]
 [-0.0418298 ]
 [ 0.27716007]]",[0.81559494]
19,"[[14.83225872  9.46746583 -2.07526269]
 [ 9.46746583 43.64714742 -6.93703526]
 [-2.07526269 -6.93703526 13.52059386]]",,[0.65870157 0.06573943 0.26188694],[ 0.00406563 -0.22817576  0.07066446],[-0.07012215 -0.23439916  0.05138015],"[[ 0.95820896]
 [-0.040668  ]
 [ 0.28316372]]",[0.83601441]
20,"[[14.90018459  9.57992974 -2.0543906 ]
 [ 9.57992974 43.64455607 -6.78609135]
 [-2.0543906  -6.78609135 13.45525934]]",,[0.6587099  0.06266167 0.26277324],[ 0.00043302 -0.22874433  0.06685002],[-0.07095803 -0.23438956  0.05026422],"[[ 0.9554592 ]
 [-0.04379619]
 [ 0.29185546]]",[0.8362172]
21,"[[14.92176227  9.61409189 -2.05328613]
 [ 9.61409189 43.63527847 -6.7563613 ]
 [-2.05328613 -6.7563613  13.44295926]]",,[0.65872534 0.06093892 0.26328903],[ 0.00206422 -0.21452319  0.06180466],[-0.07122151 -0.2343552   0.05005135],"[[ 0.95638342]
 [-0.04284976]
 [ 0.28895441]]",[0.85425943]
22,"[[14.96392959  9.68100946 -2.04808259]
 [ 9.68100946 43.62084033 -6.68960122]
 [-2.04808259 -6.68960122 13.41523008]]",,[0.65877676 0.05825468 0.26406383],[ 0.0046874  -0.2077202   0.06048299],[-0.07173361 -0.23430171  0.0495681 ],"[[ 0.95526503]
 [-0.042825  ]
 [ 0.29263414]]",[0.86399547]
23,"[[14.99819715  9.73447731 -2.04593807]
 [ 9.73447731 43.60567632 -6.64270453]
 [-2.04593807 -6.64270453 13.39612654]]",,[0.6588451  0.05600205 0.2647081 ],[ 0.0078404  -0.22966103  0.06802845],[-0.0721471  -0.23424552  0.04923242],"[[ 0.95432007]
 [-0.04062244]
 [ 0.29601187]]",[0.88017802]
24,"[[15.04486855  9.80721088 -2.04025933]
 [ 9.80721088 43.58802543 -6.57146709]
 [-2.04025933 -6.57146709 13.36710602]]",,[0.65890235 0.05349879 0.26542917],[ 0.00402981 -0.2503546   0.07067776],[-0.07270647 -0.23418011  0.04871805],"[[ 0.95316613]
 [-0.04071337]
 [ 0.29969444]]",[0.89127079]
25,"[[15.05600604  9.82091702 -2.05587775]
 [ 9.82091702 43.56093605 -6.60686024]
 [-2.05587775 -6.60686024 13.38305791]]",,[0.65896224 0.05039048 0.26625822],[ 0.00408127 -0.25489509  0.06671149],[-0.07283932 -0.23407967  0.04900145],"[[ 0.95183546]
 [-0.04071514]
 [ 0.30389394]]",[0.90043242]
26,"[[14.99799192  9.72125108 -2.10642614]
 [ 9.72125108 43.52200707 -6.83027103]
 [-2.10642614 -6.83027103 13.48000101]]",,[0.65901485 0.04843494 0.26678603],[ 0.00606326 -0.23694855  0.06452621],[-0.07214463 -0.23393526  0.05068971],"[[ 0.95065784]
 [-0.04260909]
 [ 0.30730136]]",[0.89862026]
27,"[[15.03118468  9.77304935 -2.10287288]
 [ 9.77304935 43.50995524 -6.78001592]
 [-2.10287288 -6.78001592 13.45886008]]",,[0.65914254 0.04600266 0.26749318],[ 0.0122722  -0.21856074  0.06346611],[-0.07254291 -0.23389054  0.05032637],"[[ 0.9499619 ]
 [-0.04187428]
 [ 0.30954633]]",[0.90950839]
28,"[[15.13232523  9.93511613 -2.06051312]
 [ 9.93511613 43.51222347 -6.53554009]
 [-2.06051312 -6.53554009 13.3554513 ]]",,[0.65932284 0.04352492 0.26823762],[ 0.01380101 -0.20604186  0.05916058],[-0.07374323 -0.23389896  0.04850994],"[[ 0.94903117]
 [-0.04169866]
 [ 0.3124117 ]]",[0.92158186]
29,"[[15.23255389 10.09252584 -2.015802  ]
 [10.09252584 43.51040359 -6.29364101]
 [-2.015802   -6.29364101 13.25704252]]",,[0.65941957 0.04157601 0.26876327],[ 0.00958559 -0.21431545  0.05717362],[-0.07491377 -0.2338922   0.04671579],"[[ 0.94841552]
 [-0.04016169]
 [ 0.31447582]]",[0.93642801]
30,"[[15.26189479 10.13640912 -2.01033951]
 [10.13640912 43.49911216 -6.24717383]
 [-2.01033951 -6.24717383 13.23899305]]",,[0.65946784 0.03966704 0.26922591],[ 0.00522554 -0.23878115  0.05906899],[-0.07525299 -0.23385029  0.04637919],"[[ 0.94761876]
 [-0.0401298 ]
 [ 0.31687265]]",[0.94338623]
31,"[[15.22455617 10.07337841 -2.05263416]
 [10.07337841 43.46881223 -6.41234313]
 [-2.05263416 -6.41234313 13.3066316 ]]",,[0.65949395 0.03699553 0.26983619],[ 0.00285249 -0.27324209  0.06314422],[-0.07482104 -0.23373779  0.04762833],"[[ 0.94674033]
 [-0.04125914]
 [ 0.31934374]]",[0.94805606]
32,"[[15.21269193 10.05079419 -2.07775264]
 [10.05079419 43.44355768 -6.50017638]
 [-2.07775264 -6.50017638 13.34375039]]",,[0.65951016 0.03424394 0.27044257],[ 0.00256004 -0.2724588   0.06109115],[-0.07468327 -0.23364398  0.0483001 ],"[[ 0.94519311]
 [-0.04201666]
 [ 0.32379714]]",[0.94941021]
33,"[[15.34167551 10.25138997 -2.01060361]
 [10.25138997 43.44859397 -6.16800811]
 [-2.01060361 -6.16800811 13.20973052]]",,[0.65956241 0.03173704 0.27102732],[ 0.00581049 -0.24402398  0.0542266 ],[-0.07616771 -0.23366269  0.04582823],"[[ 0.94313758]
 [-0.0420921 ]
 [ 0.32972678]]",[0.95068777]
34,"[[15.40791037 10.35075321 -1.98313593]
 [10.35075321 43.43806043 -6.02332466]
 [-1.98313593 -6.02332466 13.15402921]]",,[0.65965873 0.02921244 0.27162183],[ 0.00942643 -0.22762262  0.05727729],[-0.07691886 -0.23362356  0.04476073],"[[ 0.94265917]
 [-0.04201843]
 [ 0.33110141]]",[0.96140083]
35,"[[15.4656757  10.43430841 -1.96942257]
 [10.43430841 43.41517017 -5.92945339]
 [-1.96942257 -5.92945339 13.11915413]]",,[0.6597646  0.02661998 0.27219134],[ 0.00982405 -0.24255015  0.05410148],[-0.07756802 -0.23353849  0.0440792 ],"[[ 0.94191326]
 [-0.04369758]
 [ 0.33300141]]",[0.97323626]
36,"[[15.50824872 10.49487431 -1.96131539]
 [10.49487431 43.39526173 -5.86724608]
 [-1.96131539 -5.86724608 13.09648955]]",,[0.65984968 0.02371585 0.27279373],[ 0.00623802 -0.26540714  0.0537536 ],[-0.078043   -0.23346448  0.04363058],"[[ 0.94146735]
 [-0.04292386]
 [ 0.33436025]]",[0.99008952]
37,"[[15.54257546 10.54277669 -1.95773727]
 [10.54277669 43.3755181  -5.82626597]
 [-1.95773727 -5.82626597 13.08190644]]",,[0.65991775 0.02120163 0.27331126],[ 0.00917513 -0.2814316   0.05845278],[-0.07842388 -0.23339106  0.04333947],"[[ 0.94104183]
 [-0.04153629]
 [ 0.33573056]]",[1.00548606]
38,"[[15.57818659 10.59244298 -1.95229349]
 [10.59244298 43.35662304 -5.77934016]
 [-1.95229349 -5.77934016 13.06519036]]",,[0.65999351 0.01895588 0.27375287],[ 0.00800191 -0.27745581  0.05393046],[-0.07881706 -0.23332077  0.04300336],"[[ 0.94039528]
 [-0.04164402]
 [ 0.33752407]]",[1.01449911]
39,"[[15.36370573 10.26406633 -2.10424154]
 [10.26406633 43.31993879 -6.42091683]
 [-2.10424154 -6.42091683 13.31635548]]",,[0.66010362 0.01624689 0.27428864],[ 0.01098739 -0.26257031  0.05480291],[-0.07641837 -0.23318425  0.04780522],"[[ 0.94037446]
 [-0.04123653]
 [ 0.33763207]]",[1.02492272]
40,"[[15.37011054 10.26844215 -2.12730587]
 [10.26844215 43.28707586 -6.48172128]
 [-2.12730587 -6.48172128 13.34281359]]",,[0.66022742 0.01374685 0.27478322],[ 0.01189055 -0.2408489   0.04860245],[-0.07649109 -0.23306188  0.04828326],"[[ 0.93913849]
 [-0.04208485]
 [ 0.34095125]]",[1.02904086]
41,"[[15.40812867 10.32380876 -2.1204395 ]
 [10.32380876 43.27259494 -6.42317649]
 [-2.1204395  -6.42317649 13.31927639]]",,[0.66033053 0.01138284 0.27523816],[ 0.00822542 -0.23559963  0.04300193],[-0.07692132 -0.23300794  0.04785823],"[[ 0.93847348]
 [-0.04206836]
 [ 0.34277949]]",[1.03783596]
42,"[[15.67663789 10.72088067 -1.97585823]
 [10.72088067 43.26151814 -5.76149758]
 [-1.97585823 -5.76149758 13.06184397]]",,[0.66038435 0.00815235 0.27579824],[ 0.00318848 -0.25168138  0.04353644],[-0.079894   -0.23296667  0.04293576],"[[ 0.93741709]
 [-0.04005967]
 [ 0.34589654]]",[1.04787495]
43,"[[15.73889425 10.80858417 -1.94817123]
 [10.80858417 43.2460005  -5.6318717 ]
 [-1.94817123 -5.6318717  13.01510524]]",,[0.66039636 0.00628307 0.27609597],[ 0.00317403 -0.26464174  0.04514265],[-0.08056759 -0.23290884  0.04198018],"[[ 0.93701349]
 [-0.04008503]
 [ 0.34698547]]",[1.05449176]
44,"[[15.77223298 10.85347841 -1.94233159]
 [10.85347841 43.22765594 -5.58848143]
 [-1.94233159 -5.58848143 13.00011108]]",,[0.66041094 0.00328989 0.27655363],[ 0.00218731 -0.26809023  0.04127844],[-0.08092599 -0.23284046  0.04166898],"[[ 0.93647647]
 [-0.03997353]
 [ 0.34844503]]",[1.06342045]
45,"[[15.7499793  10.81852557 -1.97393375]
 [10.81852557 43.21097111 -5.69471218]
 [-1.97393375 -5.69471218 13.03904959]]",,[0.6604311  0.0010044  0.27688585],[ 0.00156308 -0.24384157  0.03573216],[-0.08068693 -0.23277825  0.04247241],"[[ 0.93583842]
 [-0.04182065]
 [ 0.34993926]]",[1.06652924]
46,"[[15.82102191 10.91696874 -1.94328945]
 [10.91696874 43.19066293 -5.55213519]
 [-1.94328945 -5.55213519 12.98831516]]",,[ 0.66044979 -0.00135125  0.27721336],[ 0.00253646 -0.23610121  0.03377596],[-0.08144764 -0.23270251  0.04142252],"[[ 0.93497932]
 [-0.04205164]
 [ 0.3522007 ]]",[1.06898843]
47,"[[15.76761586 10.83983955 -1.98421782]
 [10.83983955 43.18739428 -5.70880991]
 [-1.98421782 -5.70880991 13.04498985]]",,[ 0.66043882 -0.0037413   0.27752808],[-0.00092805 -0.2449094   0.03282683],[-0.08087645 -0.23269031  0.04259364],"[[ 0.93520506]
 [-0.04101187]
 [ 0.35172365]]",[1.07634045]
48,"[[15.90849519 11.03422664 -1.91711619]
 [11.03422664 43.15115967 -5.41228619]
 [-1.91711619 -5.41228619 12.94034515]]",,[ 0.66037972 -0.00660339  0.27788704],[-0.00573284 -0.26769732  0.03405365],[-0.08237464 -0.2325551   0.04040475],"[[ 0.93360313]
 [-0.04341433]
 [ 0.35566894]]",[1.07954882]
49,"[[15.86317168 10.97056133 -1.94855564]
 [10.97056133 43.15399105 -5.53347119]
 [-1.94855564 -5.53347119 12.98283727]]",,[ 0.66031125 -0.00909136  0.27820199],[-0.00743297 -0.27685644  0.0358286 ],[-0.08189564 -0.23256567  0.04130756],"[[ 0.93439513]
 [-0.04096813]
 [ 0.35387477]]",[1.0901827]
50,"[[15.89059288 11.00618514 -1.94641196]
 [11.00618514 43.13564305 -5.50624829]
 [-1.94641196 -5.50624829 12.97376406]]",,[ 0.66022157 -0.01214361  0.27859578],[-0.00924037 -0.268095    0.0352011 ],[-0.08218577 -0.23249717  0.04111645],"[[ 0.93371664]
 [-0.04094967]
 [ 0.35566326]]",[1.09470671]
51,"[[15.9948352  11.14809224 -1.89087242]
 [11.14809224 43.11015954 -5.27671834]
 [-1.89087242 -5.27671834 12.89500526]]",,[ 0.66014898 -0.01448911  0.27888567],[-0.008949   -0.25723701  0.03019284],[-0.08327952 -0.23240201  0.03941863],"[[ 0.93013559]
 [-0.04588459]
 [ 0.36433828]]",[1.08368914]
