,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
18,"[[ 16.36105194   3.2967269   -1.12907785]
 [  3.2967269  159.01465901  11.16406625]
 [ -1.12907785  11.16406625  23.61465069]]",[0.424017   0.44378246 0.28295027],[ 0.04830342 -0.09499353 -0.02303299],[-0.01984027 -0.14152956  0.06958102],"[[0.02222997]
 [0.99643513]
 [0.08138094]]",[2.25024523],
19,"[[ 16.33879158   4.27905397  -0.84054273]
 [  4.27905397 158.72110792  12.53270576]
 [ -0.84054273  12.53270576  24.12854986]]",[0.42517223 0.44202296 0.28242478],[ 0.07694836 -0.11478915 -0.03738106],[-0.01849334 -0.14188182  0.06981951],"[[0.02911162]
 [0.99536731]
 [0.09163202]]",[2.23214009],
20,"[[ 16.33639452   4.80197074  -0.69463479]
 [  4.80197074 158.7523108   12.18203917]
 [ -0.69463479  12.18203917  24.01498129]]",[0.42589939 0.44098164 0.28206768],[ 0.0783535  -0.11282833 -0.0373084 ],[-0.01772765 -0.14165229  0.06978283],"[[0.03284393]
 [0.99548891]
 [0.08901179]]",[2.22798796],
21,"[[ 16.39194431   6.55230487  -0.34190191]
 [  6.55230487 158.87236751  10.61973774]
 [ -0.34190191  10.61973774  24.30336044]]",[0.42673168 0.4398331  0.28172377],[ 0.07469104 -0.10112775 -0.03153899],[-0.01552309 -0.13745074  0.07335388],"[[0.04525572]
 [0.99593903]
 [0.07782903]]",[2.23627368],
22,"[[ 16.29233395   4.08028271  -0.85108693]
 [  4.08028271 159.20363788   9.64950668]
 [ -0.85108693   9.64950668  23.85135891]]",[0.42741019 0.43894738 0.28147938],[ 0.0766225  -0.09841558 -0.02774102],[-0.01674322 -0.13768768  0.07270888],"[[0.02789372]
 [0.99712195]
 [0.07049644]]",[2.19786152],
23,"[[ 16.30371759   4.49461541  -0.78755561]
 [  4.49461541 159.19317666   9.54667499]
 [ -0.78755561   9.54667499  23.90430219]]",[0.42836249 0.43773959 0.28114689],[ 0.08918638 -0.11330261 -0.03082175],[-0.01662439 -0.13738234  0.07314551],"[[0.03080513]
 [0.99708776]
 [0.06976423]]",[2.18586492],
24,"[[ 16.32382442   5.05413889  -0.7009429 ]
 [  5.05413889 159.1688946    9.45111813]
 [ -0.7009429    9.45111813  23.98526132]]",[0.4296389  0.43615786 0.28081393],[ 0.10987967 -0.1342666  -0.02266477],[-0.01646723 -0.13700148  0.07371241],"[[0.03473483]
 [0.99700493]
 [0.06909887]]",[2.17028133],
25,"[[ 16.34847036   5.5978197   -0.61545126]
 [  5.5978197  159.13539002   9.3978687 ]
 [ -0.61545126   9.3978687   24.07580772]]",[0.43086759 0.43462179 0.2805934 ],[ 0.10793686 -0.13664921 -0.01811063],[-0.01631328 -0.13665152  0.07425928],"[[0.03855225]
 [0.99688868]
 [0.06875084]]",[2.15526575],
26,"[[ 16.39416573   6.32039318  -0.43203204]
 [  6.32039318 158.88867313  10.66655627]
 [ -0.43203204  10.66655627  23.92510639]]",[0.4316473  0.43359915 0.28045009],[ 0.09317026 -0.12269025 -0.01496867],[-0.01663449 -0.13985445  0.07196833],"[[0.04360177]
 [0.99600447]
 [0.07793576]]",[2.16499088],
27,"[[ 16.42142103   6.73183351  -0.36446269]
 [  6.73183351 158.85490044  10.63868364]
 [ -0.36446269  10.63868364  23.98664406]]",[0.43256601 0.43237889 0.28030265],[ 0.08224038 -0.10759355 -0.01239369],[-0.01653848 -0.13964134  0.07234769],"[[0.04649577]
 [0.9958864 ]
 [0.07777159]]",[2.1531368],
28,"[[1.66279192e+01 9.06069440e+00 1.36948800e-01]
 [9.06069440e+00 1.58390435e+02 1.18493304e+01]
 [1.36948800e-01 1.18493304e+01 2.43992579e+01]]",[0.43323906 0.43155771 0.2802316 ],[ 0.08503772 -0.10245103 -0.00868028],[-0.01593657 -0.14033513  0.0724983 ],"[[0.06291512]
 [0.99422464]
 [0.08694283]]",[2.14941771],
29,"[[ 16.82230471  10.63027245   0.51482608]
 [ 10.63027245 157.97861785  12.86870995]
 [  0.51482608  12.86870995  24.79459719]]",[0.43473173 0.42994427 0.28012069],[ 0.11432412 -0.11950305 -0.00828385],[-0.01557318 -0.14082545  0.07273932],"[[0.07404717]
 [0.99274148]
 [0.09477006]]",[2.14220956],
30,"[[ 16.5769268    8.74325953   0.2005401 ]
 [  8.74325953 158.27508801  12.64831989]
 [  0.2005401   12.64831989  25.51874544]]",[0.43637628 0.42822624 0.27989692],[ 0.11302899 -0.11850239 -0.01707241],[-0.01448253 -0.13702613  0.07604683],"[[0.06071181]
 [0.99376118]
 [0.09355642]]",[2.13273023],
31,"[[ 16.51957043   8.54471545   0.39450675]
 [  8.54471545 158.55835789  11.12089743]
 [  0.39450675  11.12089743  26.85086132]]",[0.43768214 0.4268658  0.27964864],[ 0.09639077 -0.10081168 -0.01887443],[-0.01030574 -0.12941457  0.08343452],"[[0.05946956]
 [0.9947518 ]
 [0.08325997]]",[2.13752234],
32,"[[ 16.52180718   8.56382034   0.37168183]
 [  8.56382034 158.62267892  10.72757428]
 [  0.37168183  10.72757428  26.58723065]]",[0.43869605 0.42581375 0.2794302 ],[ 0.0931485  -0.09704116 -0.02181933],[-0.01038854 -0.12992792  0.08309098],"[[0.05959638]
 [0.99499779]
 [0.08017271]]",[2.10752143],
33,"[[ 16.63890697   9.38266533   0.27806453]
 [  9.38266533 158.54225053  10.64673292]
 [  0.27806453  10.64673292  25.18358137]]",[0.44007551 0.42436015 0.27910837],[ 0.11346753 -0.1211068  -0.02804626],[-0.01336597 -0.1356092   0.07796592],"[[0.06525751]
 [0.99476072]
 [0.07869292]]",[2.08910569],
34,"[[ 16.52168722   8.41820286   0.25796614]
 [  8.41820286 158.46040998  11.86251475]
 [  0.25796614  11.86251475  25.08322071]]",[0.44141501 0.42290493 0.27883311],[ 0.12136621 -0.13355386 -0.02397343],[-0.0129679  -0.13848454  0.07590208],"[[0.05850354]
 [0.99444091]
 [0.08754776]]",[2.07577093],
35,"[[ 16.84442108  10.78676879   0.2689493 ]
 [ 10.78676879 158.49095864   9.69544971]
 [  0.2689493    9.69544971  24.42470525]]",[0.44256467 0.42163208 0.27863511],[ 0.11179311 -0.12403049 -0.01902443],[-0.01550992 -0.13722666  0.07618731],"[[0.07507902]
 [0.99462685]
 [0.07127808]]",[2.0394553],
36,"[[ 17.15466024  12.74497194   0.7101096 ]
 [ 12.74497194 157.93897561  11.1082017 ]
 [  0.7101096   11.1082017   24.9114492 ]]",[0.44387323 0.42017694 0.2784079 ],[ 0.08631136 -0.09557172 -0.01051326],[-0.01547469 -0.13769695  0.07629114],"[[0.08897406]
 [0.99264522]
 [0.08209197]]",[2.02058211],
37,"[[ 17.44280609  14.27936506   1.07059293]
 [ 14.27936506 157.51059551  11.84598825]
 [  1.07059293  11.84598825  25.08528494]]",[0.44485999 0.4191099  0.27828075],[ 0.09514643 -0.10222425 -0.00999947],[-0.01533575 -0.13859559  0.07602126],"[[0.099935  ]
 [0.99111116]
 [0.08781608]]",[2.03955946],
38,"[[ 17.76050654  15.75921219   1.42850025]
 [ 15.75921219 157.09247239  12.34965635]
 [  1.42850025  12.34965635  25.29177369]]",[0.44644229 0.41738996 0.27810704],[ 0.11888853 -0.13380266 -0.01776447],[-0.01500044 -0.13903328  0.07622817],"[[0.1105654 ]
 [0.98961114]
 [0.09189714]]",[2.03979245],
39,"[[ 17.94474721  16.53708038   1.62915613]
 [ 16.53708038 156.91057804  12.32434621]
 [  1.62915613  12.32434621  25.47861486]]",[0.44780998 0.41581562 0.27791116],[ 0.1216042  -0.14362692 -0.01891496],[-0.014315   -0.13852524  0.07714303],"[[0.11618267]
 [0.98895675]
 [0.09201158]]",[2.02701096],
40,"[[ 18.20494193  17.50856999   1.98822934]
 [ 17.50856999 156.72942605  11.9136012 ]
 [  1.98822934  11.9136012   26.61740812]]",[0.45003683 0.41313796 0.27762307],[ 0.09095146 -0.10704479 -0.01042596],[-0.01168861 -0.13358694  0.08233218],"[[0.1232932 ]
 [0.98827077]
 [0.0901092 ]]",[1.99392407],
