,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
2058,"[[110.22216812  53.75795508  40.32117846]
 [ 53.75795508  71.16037415   7.31514792]
 [ 40.32117846   7.31514792  43.30728132]]",[0.57528226 0.20249668 0.31202831],[ 0.02702512 -0.15998352  0.03238254],[-0.01086221 -0.19285277  0.11493982],"[[0.80214485]
 [0.51084687]
 [0.30919107]]",[0.85536009],
2059,"[[110.35297401  59.74053645  33.39724331]
 [ 59.74053645  61.60197321   7.06602654]
 [ 33.39724331   7.06602654  53.31301298]]",[0.57544481 0.20105118 0.312257  ],[ 0.0137525  -0.14179468  0.01771356],[ 0.06135538 -0.07622316  0.23005553],"[[0.80946073]
 [0.51208091]
 [0.28730902]]",[0.81734853],
2060,"[[108.35401504  59.30889034  35.38567848]
 [ 59.30889034  63.05691984   7.82701264]
 [ 35.38567848   7.82701264  54.30148719]]",[0.57555464 0.19992594 0.31233544],[ 0.01737722 -0.1428097   0.01131652],[ 0.06019234 -0.08442266  0.2274856 ],"[[0.80084072]
 [0.51467041]
 [0.30621646]]",[0.74829339],
2061,"[[109.53120907  54.44564772  39.64405348]
 [ 54.44564772  72.77006931   6.45759261]
 [ 39.64405348   6.45759261  43.81830761]]",[0.57585103 0.19854192 0.31255032],[ 0.03839935 -0.13585039  0.03103218],[-0.0043135  -0.19449685  0.12541168],"[[0.79866543]
 [0.52081482]
 [0.30147215]]",[0.73972491],
2062,"[[ 17.51241613  -5.28816404   4.65361859]
 [ -5.28816404  34.49006917 -16.27138059]
 [  4.65361859 -16.27138059  30.31892026]]",[0.57651952 0.1973085  0.31318632],[ 0.07664682 -0.11977403  0.07052719],[-0.0064023  -0.19646489  0.1227128 ],"[[0.80304434]
 [0.50627963]
 [0.31432582]]",[0.74034473],
2063,"[[ 17.66631839  -5.43499624   4.9174544 ]
 [ -5.43499624  33.72721493 -16.0391594 ]
 [  4.9174544  -16.0391594   30.5118472 ]]",[0.57728693 0.19645113 0.31388139],[ 0.09371814 -0.10405485  0.09129338],[-0.00510848 -0.19534003  0.12392993],"[[0.79687802]
 [0.52101625]
 [0.30582264]]",[0.75718795],
2064,"[[ 17.53391548  -5.36284115   4.5879085 ]
 [ -5.36284115  34.74944582 -16.04014357]
 [  4.5879085  -16.04014357  29.72233655]]",[0.57840776 0.19508889 0.31500121],[ 0.08017987 -0.10380137  0.08534156],[-0.0070442  -0.19906162  0.11926231],"[[0.80089928]
 [0.50472318]
 [0.32220312]]",[0.77308858],
2065,"[[ 17.4277679   -5.26836501   4.30392653]
 [ -5.26836501  35.43990328 -15.88119183]
 [  4.30392653 -15.88119183  28.97394593]]",[0.57930486 0.19381106 0.31611058],[ 0.06404078 -0.09992007  0.08222282],[-0.01063278 -0.19996326  0.11547871],"[[0.82131608]
 [0.47753777]
 [0.31208585]]",[0.8112482],
2066,"[[ 17.20818165  -4.92866547   3.88001229]
 [ -4.92866547  36.10603569 -15.82815185]
 [  3.88001229 -15.82815185  28.4604569 ]]",[0.57978115 0.19293672 0.31670088],[ 0.05853082 -0.1098706   0.07165711],[-0.01495491 -0.20048029  0.11137587],"[[0.82908338]
 [0.45692098]
 [0.3222483 ]]",[0.83992542],
2067,"[[ 17.16271831  -4.86284105   3.78936052]
 [ -4.86284105  36.337878   -15.84825644]
 [  3.78936052 -15.84825644  28.34972657]]",[0.58025603 0.19191379 0.31722506],[ 0.05968082 -0.13178855  0.06363704],[-0.01562404 -0.20116089  0.11083692],"[[0.83100801]
 [0.45168724]
 [0.32466033]]",[0.8409155],
2068,"[[97.73605085 38.95835272 35.99457521]
 [38.95835272 59.98118848  1.67804061]
 [35.99457521  1.67804061 41.27876185]]",[0.58081354 0.19060841 0.31777024],[ 0.06255878 -0.15161012  0.05798284],[-0.01749139 -0.20101258  0.10965349],"[[0.82943675]
 [0.44864312]
 [0.33279727]]",[0.8541755],
2069,"[[115.90367067  48.64746197  43.90819021]
 [ 48.64746197  65.09631679   5.85746233]
 [ 43.90819021   5.85746233  44.78217584]]",[0.5814611  0.18895902 0.31836664],[ 0.05481131 -0.14904069  0.0535756 ],[-0.01854126 -0.20136667  0.10936373],"[[0.82872752]
 [0.44569509]
 [0.33847686]]",[0.85592463],
2070,"[[116.0693371   48.53640218  44.2176783 ]
 [ 48.53640218  65.31987275   4.08514911]
 [ 44.2176783    4.08514911  47.2314988 ]]",[0.58189498 0.18745881 0.31879315],[ 0.03847288 -0.14881605  0.04058949],[-0.01241096 -0.19500221  0.1217951 ],"[[0.83031357]
 [0.44038412]
 [0.34152775]]",[0.84976119],
2071,"[[116.27471116  48.69846193  44.17987041]
 [ 48.69846193  65.79656747   1.82539693]
 [ 44.17987041   1.82539693  50.20381969]]",[0.58223238 0.18526896 0.31918894],[ 0.01902223 -0.1577937   0.02095759],[-0.00338549 -0.18796906  0.13840155],"[[0.83202093]
 [0.43674117]
 [0.34205018]]",[0.8303626],
2072,"[[117.30433074  48.040776    44.27304303]
 [ 48.040776    65.15611101   1.27826881]
 [ 44.27304303   1.27826881  50.08886914]]",[0.58234316 0.18414025 0.31928127],[ 0.01438983 -0.15770141  0.01258605],[-0.00338881 -0.18919349  0.13875661],"[[0.83645684]
 [0.42829424]
 [0.34191227]]",[0.81715932],
2073,"[[1.13950108e+02 5.02949000e+01 4.42908881e+01]
 [5.02949000e+01 6.60257723e+01 1.11203255e-01]
 [4.42908881e+01 1.11203255e-01 5.71906415e+01]]",[0.582513   0.18270153 0.31937625],[ 0.02037931 -0.15950759  0.00945347],[ 0.02858258 -0.16754899  0.18333132],"[[0.82392398]
 [0.44138377]
 [0.35542881]]",[0.7632172],
2074,"[[119.83616688  46.94705152  43.7382918 ]
 [ 46.94705152  64.27916804  -0.49716766]
 [ 43.7382918   -0.49716766  49.6148136 ]]",[0.5830545  0.18056158 0.31974549],[ 0.0456624  -0.14550515  0.0355001 ],[ 6.10806608e-05 -1.91876258e-01  1.43829591e-01],"[[0.84702941]
 [0.41369887]
 [0.33375803]]",[0.77244606],
2075,"[[118.73852083  46.77027148  44.27685295]
 [ 46.77027148  64.26241029   3.22363812]
 [ 44.27685295   3.22363812  45.7125164 ]]",[0.58336641 0.17972348 0.31999517],[ 0.05081115 -0.13735153  0.04452946],[-0.01191192 -0.2058626   0.12070583],"[[0.84116337]
 [0.42230392]
 [0.33779221]]",[0.76005628],
2076,"[[ 16.77823521  -4.22460992   3.02317981]
 [ -4.22460992  38.93307824 -16.41117651]
 [  3.02317981 -16.41117651  27.74402807]]",[0.58396028 0.17845991 0.32054975],[ 0.06157163 -0.12731181  0.05422249],[-0.01889175 -0.21014011  0.11123103],"[[0.85025609]
 [0.40080172]
 [0.34120752]]",[0.77836905],
2077,"[[116.44009941  43.96286824  44.40350426]
 [ 43.96286824  62.16850623   3.56009422]
 [ 44.40350426   3.56009422  44.99043376]]",[0.58450236 0.17716043 0.32100859],[ 0.05034208 -0.13539671  0.04077422],[-0.01833918 -0.21080951  0.1114525 ],"[[0.84331244]
 [0.40783389]
 [0.34999379]]",[0.77215837],
2078,"[[118.62817607  44.75419507  46.74574867]
 [ 44.75419507  63.56129053   2.3334407 ]
 [ 46.74574867   2.3334407   48.91117718]]",[0.58514266 0.175063   0.32153553],[ 0.04808775 -0.15846598  0.03817115],[-0.00951708 -0.20589874  0.12552363],"[[0.84194327]
 [0.39949498]
 [0.36267795]]",[0.75657124],
2079,"[[119.02274919  44.34108505  46.91305133]
 [ 44.34108505  63.20738499   2.14231445]
 [ 46.91305133   2.14231445  48.94639449]]",[0.58543328 0.17407245 0.32177534],[ 0.04690642 -0.16547163  0.03700087],[-0.01008354 -0.20649639  0.12515087],"[[0.84369251]
 [0.39455573]
 [0.36401747]]",[0.7559593],
2080,"[[124.05815214  41.4266663   45.94489026]
 [ 41.4266663   59.13916798   1.91788002]
 [ 45.94489026   1.91788002  44.57385826]]",[0.58583667 0.17232834 0.32197961],[ 0.03682045 -0.17152289  0.02068017],[-0.02465005 -0.21257598  0.10648978],"[[0.86415577]
 [0.36159047]
 [0.34998163]]",[0.79774078],
2081,"[[123.75530242  40.88279296  46.73971376]
 [ 40.88279296  58.67409544   2.12660969]
 [ 46.73971376   2.12660969  45.24057705]]",[0.5861447  0.17057838 0.32215143],[ 0.02825503 -0.17585703  0.0168694 ],[-0.02678046 -0.21259999  0.10469623],"[[0.86320567]
 [0.35580174]
 [0.35816351]]",[0.81685112],
2082,"[[123.6305628   40.59073522  47.12319454]
 [ 40.59073522  58.44457518   2.20824276]
 [ 47.12319454   2.20824276  45.55750813]]",[0.58640481 0.16878657 0.32229775],[ 0.0259268  -0.1811721   0.01382165],[-0.02780734 -0.21294412  0.10393823],"[[0.86282677]
 [0.35273692]
 [0.36208651]]",[0.82663566],
2083,"[[124.22165044  39.84707339  47.35468893]
 [ 39.84707339  57.95368326   1.87927455]
 [ 47.35468893   1.87927455  45.59171299]]",[0.58661337 0.16694186 0.32235945],[ 0.02125263 -0.18643718  0.00615727],[-0.02874429 -0.21387105  0.10334011],"[[0.86536776]
 [0.34460956]
 [0.3638446 ]]",[0.82669087],
2084,"[[125.43820121  39.35461523  47.08606041]
 [ 39.35461523  58.13651647  -1.81542719]
 [ 47.08606041  -1.81542719  48.81883083]]",[0.58699768 0.16363161 0.32246113],[ 0.02429761 -0.19785456  0.00450332],[-0.01823422 -0.20408885  0.1244891 ],"[[0.87113815]
 [0.33008217]
 [0.36354379]]",[0.8108023],
2085,"[[125.94176266  38.66371104  47.27239893]
 [ 38.66371104  57.90920019  -2.12227206]
 [ 47.27239893  -2.12227206  48.73911818]]",[0.58718803 0.1620665  0.32244727],[ 0.02303536 -0.19181336  0.00346258],[-0.01834907 -0.20611219  0.12431382],"[[0.87320474]
 [0.32311472]
 [0.36484292]]",[0.79467323],
2086,"[[123.97109572  41.69873474  46.36887271]
 [ 41.69873474  54.30068366  -3.18683269]
 [ 46.36887271  -3.18683269  55.96082908]]",[0.58750347 0.15983302 0.32252304],[ 0.02825874 -0.18064877  0.0111375 ],[ 0.02182177 -0.17161559  0.18047686],"[[0.8658613 ]
 [0.33025522]
 [0.37578677]]",[0.73398555],
2087,"[[126.12001817  39.82141355  46.30886915]
 [ 39.82141355  54.74367023  -5.01857782]
 [ 46.30886915  -5.01857782  54.93339925]]",[0.58786665 0.15810696 0.32270727],[ 0.03822823 -0.17159831  0.01782447],[ 0.01621109 -0.17986778  0.17287215],"[[0.87445996]
 [0.313169  ]
 [0.37046586]]",[0.71158068],
2088,"[[ 23.41692393   1.18848077   4.05919421]
 [  1.18848077  46.13677221 -19.53591932]
 [  4.05919421 -19.53591932  31.82886358]]",[0.58835468 0.15641101 0.32299723],[ 0.05138056 -0.16642548  0.03509882],[-0.00970003 -0.21004402  0.13523098],"[[0.8778629 ]
 [0.30197535]
 [0.37170905]]",[0.70247646],
2089,"[[ 16.04666649  -1.17393047   0.81654294]
 [ -1.17393047  45.53109911 -20.54074836]
 [  0.81654294 -20.54074836  30.28739044]]",[0.58886817 0.15505249 0.32334815],[ 0.06580329 -0.17261451  0.04607422],[-0.01082195 -0.21070672  0.13411026],"[[0.87974458]
 [0.29456089]
 [0.37320685]]",[0.704244],
2090,"[[ 16.02907463  -0.93237541   0.63718227]
 [ -0.93237541  45.89974167 -20.43338446]
 [  0.63718227 -20.43338446  29.96410729]]",[0.58962019 0.15314227 0.32388444],[ 0.06733934 -0.17235653  0.05057558],[-0.01246165 -0.21165646  0.13246226],"[[0.8822546 ]
 [0.28406617]
 [0.37541077]]",[0.70735025],
2091,"[[ 16.55466556  -3.97486427   2.17425018]
 [ -3.97486427  44.48481516 -15.58118977]
 [  2.17425018 -15.58118977  24.52290855]]",[0.59042906 0.15085212 0.32451793],[ 0.06063273 -0.17799024  0.05134982],[-0.0208371  -0.22712394  0.10237446],"[[0.92875603]
 [0.26907276]
 [0.25497467]]",[0.75775372],
2092,"[[ 16.05129444  -1.2502891    0.62809674]
 [ -1.2502891   46.47548347 -15.3097005 ]
 [  0.62809674 -15.3097005   23.69099954]]",[0.59123222 0.14837558 0.32522335],[ 0.0537165  -0.1768737   0.04745882],[-0.0379312  -0.22900069  0.09284345],"[[0.92048515]
 [0.20491907]
 [0.33273904]]",[0.77839758],
2093,"[[ 16.03995237  -1.08820831   0.56991365]
 [ -1.08820831  45.64023002 -15.52310482]
 [  0.56991365 -15.52310482  24.12972042]]",[0.59184234 0.14619983 0.32573084],[ 0.05162445 -0.18347533  0.0449571 ],[-0.04003027 -0.22744862  0.09389055],"[[0.9059891 ]
 [0.22201404]
 [0.36040743]]",[0.80230887],
2094,"[[ 16.02944321  -0.9245635    0.50045829]
 [ -0.9245635   45.03276432 -15.71518629]
 [  0.50045829 -15.71518629  24.50649554]]",[0.59232134 0.14429087 0.32609739],[ 0.04662123 -0.1908763   0.03953277],[-0.04142058 -0.22614335  0.09471031],"[[0.89227549]
 [0.23656915]
 [0.38455103]]",[0.81283952],
2095,"[[ 16.05550991  -0.80474684   0.45070421]
 [ -0.80474684  45.20368896 -15.67045695]
 [  0.45070421 -15.67045695  24.4193347 ]]",[0.59255001 0.14331896 0.32626534],[ 0.04585236 -0.19550428  0.0364118 ],[-0.04205253 -0.22661086  0.09423719],"[[0.89322854]
 [0.23169312]
 [0.38530647]]",[0.81325194],
2096,"[[80.48430386 16.08405206 28.72311397]
 [16.08405206 49.6385745  -8.86338105]
 [28.72311397 -8.86338105 37.46481548]]",[0.59300116 0.14123476 0.32658351],[ 0.04008216 -0.1884148   0.02993074],[-0.04204056 -0.22482554  0.09722855],"[[0.89060163]
 [0.22732819]
 [0.39389165]]",[0.81671604],
2097,"[[ 50.31141678   8.25546678  15.27172457]
 [  8.25546678  47.82835931 -12.41705949]
 [ 15.27172457 -12.41705949  31.4742087 ]]",[0.59338973 0.13940253 0.3268819 ],[ 0.03727669 -0.17804335  0.0295773 ],[-0.04292954 -0.22540938  0.09686851],"[[0.89228066]
 [0.21818243]
 [0.3952615 ]]",[0.81727599],
2098,"[[135.38613633  29.45396002  43.60239443]
 [ 29.45396002  29.21662549  -1.06561279]
 [ 43.60239443  -1.06561279  55.41692297]]",[0.59395987 0.13626333 0.32721682],[ 0.03029619 -0.1908045   0.01480699],[ 0.04220356 -0.09603492  0.22692764],"[[0.9049312]
 [0.2007438]
 [0.3752352]]",[0.78617824],
2099,"[[135.64591659  29.38338113  43.27457813]
 [ 29.38338113  28.22337628  -0.18661078]
 [ 43.27457813  -0.18661078  55.00777239]]",[0.59409477 0.13531287 0.32727028],[ 0.02759241 -0.18825854  0.01182637],[ 0.04629162 -0.08722212  0.22967235],"[[0.90572217]
 [0.20142861]
 [0.3729529 ]]",[0.72378095],
2100,"[[ 16.91102158   4.03704125  -4.1830855 ]
 [  4.03704125  33.88947978 -18.53665068]
 [ -4.1830855  -18.53665068  35.20723368]]",[0.59481651 0.13169838 0.32777926],[ 0.05130796 -0.18141118  0.0456201 ],[ 0.00956168 -0.1584425   0.19314385],"[[0.91114678]
 [0.17899176]
 [0.37117852]]",[0.69850878],
2101,"[[ 16.02569604   0.89859081  -0.46173911]
 [  0.89859081  47.42373679 -16.14702515]
 [ -0.46173911 -16.14702515  24.29711701]]",[0.59581508 0.12952076 0.32870263],[ 0.0842646  -0.15527861  0.08269188],[-0.04554757 -0.22605231  0.09657004],"[[0.91390246]
 [0.16454875]
 [0.3710876 ]]",[0.70741137],
2102,"[[ 16.05209307   1.28782121  -0.62457476]
 [  1.28782121  47.83692862 -15.44045237]
 [ -0.62457476 -15.44045237  23.48839727]]",[0.59715152 0.12736839 0.3301398 ],[ 0.09252431 -0.15724198  0.10776459],[-0.04993658 -0.22777223  0.09014515],"[[0.91276265]
 [0.14777281]
 [0.38082482]]",[0.73845527],
2103,"[[ 16.07230997   1.52190834  -0.72003346]
 [  1.52190834  48.03161272 -15.15454803]
 [ -0.72003346 -15.15454803  23.16980216]]",[0.5981082  0.125419   0.33129515],[ 0.07317503 -0.16503848  0.08999266],[-0.05202389 -0.22831569  0.08755262],"[[0.91256337]
 [0.13865358]
 [0.38471195]]",[0.76548348],
2104,"[[ 16.07746805   1.57604228  -0.74024017]
 [  1.57604228  48.06366001 -15.05975396]
 [ -0.74024017 -15.05975396  23.07330945]]",[0.59878977 0.12369317 0.33219728],[ 0.06519703 -0.17595328  0.08483137],[-0.05273956 -0.2284168   0.08685797],"[[0.91384019]
 [0.13496492]
 [0.382989  ]]",[0.77696442],
2105,"[[ 16.18067311   2.43134172  -1.22569784]
 [  2.43134172  48.71888458 -16.49437664]
 [ -1.22569784 -16.49437664  24.31521197]]",[0.59929535 0.12211579 0.33289638],[ 0.05405079 -0.17449207  0.07668169],[-0.04868482 -0.22498068  0.09753708],"[[0.91394716]
 [0.12648452]
 [0.38561932]]",[0.78011895],
2106,"[[ 16.2205208    2.69668301  -1.33592772]
 [  2.69668301  48.97693157 -16.33666133]
 [ -1.33592772 -16.33666133  24.09312725]]",[0.59974977 0.12037671 0.33353306],[ 0.04434029 -0.17480565  0.06331115],[-0.05003613 -0.22532914  0.0960373 ],"[[0.91416668]
 [0.11743525]
 [0.38795392]]",[0.78461434],
2107,"[[ 16.27335375   3.02164578  -1.27185146]
 [  3.02164578  49.40120029 -14.0590156 ]
 [ -1.27185146 -14.0590156   21.91762924]]",[0.60051896 0.11696037 0.33458247],[ 0.03792719 -0.18493359  0.04636428],[-0.0600781  -0.23014422  0.0769692 ],"[[0.90490269]
 [0.09296106]
 [0.41534247]]",[0.81747412],
2108,"[[ 16.34620786   3.41648779  -1.64330225]
 [  3.41648779  49.71497342 -16.21662215]
 [ -1.64330225 -16.21662215  23.80006054]]",[0.60067218 0.11621156 0.33475677],[ 0.03592839 -0.18580067  0.04204503],[-0.05187037 -0.22550666  0.09463725],"[[0.91708483]
 [0.09348864]
 [0.38757617]]",[0.8313119],
2109,"[[ 17.49241932   5.97325188  -4.81116147]
 [  5.97325188  39.90731452 -19.25616947]
 [ -4.81116147 -19.25616947  31.50990021]]",[0.60096549 0.11471206 0.33508923],[ 0.03523776 -0.18575727  0.04088577],[-0.01339313 -0.18582882  0.16669815],"[[0.91616277]
 [0.08634596]
 [0.39139513]]",[0.8076964],
2110,"[[ 17.57713976   6.15973127  -4.90486499]
 [  6.15973127  40.05765814 -19.15660928]
 [ -4.90486499 -19.15660928  31.25400672]]",[0.60127655 0.11304519 0.33543091],[ 0.03393616 -0.18035598  0.04123936],[-0.01461516 -0.18676025  0.16555061],"[[0.91642474]
 [0.07793405]
 [0.39254551]]",[0.81051679],
2111,"[[ 17.61217923   6.78011798  -4.59164183]
 [  6.78011798  44.51419925 -19.31042945]
 [ -4.59164183 -19.31042945  29.07743844]]",[0.60159725 0.11128967 0.33580186],[ 0.03212345 -0.17319641  0.03882928],[-0.02550383 -0.20026771  0.14745304],"[[0.90262325]
 [0.07268516]
 [0.42425008]]",[0.76055411],
2112,"[[ 16.85185452   5.46602036  -2.68357691]
 [  5.46602036  51.07333433 -17.21947303]
 [ -2.68357691 -17.21947303  24.45400807]]",[0.60194536 0.10940759 0.33622384],[ 0.0319889  -0.17132514  0.03958539],[-0.0517901  -0.22263189  0.10125624],"[[0.91483961]
 [0.05390851]
 [0.4002029 ]]",[0.79194737],
2113,"[[ 16.51341651   4.20296503  -1.66157483]
 [  4.20296503  50.40659712 -13.60209643]
 [ -1.66157483 -13.60209643  21.3773707 ]]",[0.60224684 0.10782931 0.33656458],[ 0.03349368 -0.17531789  0.03880751],[-0.06451622 -0.22992707  0.07396756],"[[0.91389023]
 [0.04773977]
 [0.4031446 ]]",[0.7980957],
2114,"[[ 16.57468499   4.45647845  -1.73103639]
 [  4.45647845  50.55841131 -13.42357382]
 [ -1.73103639 -13.42357382  21.21413824]]",[0.60258026 0.10596757 0.33691592],[ 0.03344905 -0.19204941  0.0325705 ],[-0.06585207 -0.22999856  0.07255458],"[[0.91316824]
 [0.03980367]
 [0.40563461]]",[0.8079198],
2115,"[[ 16.60477288   4.57838322  -1.76071497]
 [  4.57838322  50.66027239 -13.32934743]
 [ -1.76071497 -13.32934743  21.12608501]]",[0.60293411 0.103846   0.33724639],[ 0.03251224 -0.19636926  0.02930097],[-0.06647138 -0.22998957  0.07201633],"[[0.91515622]
 [0.03359531]
 [0.40169697]]",[0.81169355],
2116,"[[ 16.76901893   5.19629668  -2.06906394]
 [  5.19629668  51.11161851 -13.98076137]
 [ -2.06906394 -13.98076137  21.56686637]]",[0.60319317 0.10213631 0.33749573],[ 0.02761238 -0.18570676  0.02640523],[-0.06496878 -0.2287887   0.07703756],"[[0.91522021]
 [0.02469994]
 [0.40219631]]",[0.81262319],
2117,"[[ 16.90788542   5.67172667  -2.2794529 ]
 [  5.67172667  51.43231621 -14.24016013]
 [ -2.2794529  -14.24016013  21.72308508]]",[0.60345931 0.1003072  0.33776492],[ 0.02644105 -0.18279142  0.02654359],[-0.06474768 -0.22815999  0.07906173],"[[0.91529012]
 [0.01525384]
 [0.4025063 ]]",[0.81300273],
2118,"[[ 16.81155108   5.35080972  -1.948961  ]
 [  5.35080972  51.27955953 -12.85010852]
 [ -1.948961   -12.85010852  20.68048046]]",[0.60388375 0.09730753 0.33813055],[ 0.02659226 -0.19100511  0.0170481 ],[-0.06898704 -0.23051956  0.0678345 ],"[[0.90624199]
 [0.01641959]
 [0.42244036]]",[0.79828515],
2119,"[[ 16.93009738   5.74857086  -2.03796644]
 [  5.74857086  51.52968491 -12.59587943]
 [ -2.03796644 -12.59587943  20.46545414]]",[0.60425912 0.09468385 0.3383888 ],[ 0.0290771  -0.20403165  0.01905527],[-0.07066827 -0.23051476  0.06609796],"[[0.90619998]
 [0.00328301]
 [0.42283662]]",[0.80252004],
2120,"[[ 16.92359315   5.7171835   -1.99731386]
 [  5.7171835   51.39024433 -12.36367971]
 [ -1.99731386 -12.36367971  20.31928569]]",[0.60448824 0.09302701 0.33852405],[ 0.02932927 -0.20554938  0.01874579],[-0.07231127 -0.23032532  0.06497175],"[[ 0.91392682]
 [-0.00586186]
 [ 0.40583668]]",[0.86046705],
2121,"[[ 16.92315725   5.7136007   -1.99740768]
 [  5.7136007   51.36259177 -12.36234663]
 [ -1.99740768 -12.36234663  20.32173115]]",[0.6046836  0.09159665 0.33863652],[ 0.02683848 -0.20243426  0.01514926],[-0.07243652 -0.23028741  0.06496659],"[[ 0.91401419]
 [-0.00587212]
 [ 0.40563971]]",[0.86279284],
2122,"[[ 17.92888066   8.38966996  -4.18908635]
 [  8.38966996  52.49088485 -18.22043874]
 [ -4.18908635 -18.22043874  25.09773466]]",[0.60484348 0.09040119 0.33873549],[ 0.02583297 -0.19850174  0.01362546],[-0.05266035 -0.2190557   0.10835816],"[[ 0.91268476]
 [-0.00580506]
 [ 0.4086231 ]]",[0.85173264],
2123,"[[ 18.18875992   8.57915852  -4.76124403]
 [  8.57915852  49.62724265 -18.66237903]
 [ -4.76124403 -18.66237903  26.35720933]]",[0.60535932 0.08655316 0.3390061 ],[ 0.02717765 -0.19262573  0.01470692],[-0.0456962  -0.21326936  0.12218034],"[[ 0.91387477]
 [-0.00787598]
 [ 0.4059198 ]]",[0.84137136],
2124,"[[ 17.69702205   7.8515481   -3.69708118]
 [  7.8515481   52.32646234 -17.10514649]
 [ -3.69708118 -17.10514649  24.05434985]]",[0.60563931 0.08453334 0.33912514],[ 0.02863109 -0.20639567  0.00905475],[-0.05708396 -0.22173918  0.10036513],"[[ 0.91346277]
 [-0.00584559]
 [ 0.40688031]]",[0.83639255],
2125,"[[ 17.5759015    7.57841576  -2.39254162]
 [  7.57841576  52.44414678 -11.50558913]
 [ -2.39254162 -11.50558913  19.63236879]]",[0.60592584 0.08244524 0.3392272 ],[ 0.02796214 -0.20659581  0.00987863],[-0.0780433  -0.23004613  0.05905947],"[[ 0.90267085]
 [-0.05287866]
 [ 0.42707046]]",[0.80994903],
2126,"[[ 16.92246607   5.69233881  -2.0104549 ]
 [  5.69233881  51.12619286 -12.4060828 ]
 [ -2.0104549  -12.4060828   20.38165591]]",[0.60625816 0.07995609 0.33935565],[ 0.0269439  -0.20502485  0.01048909],[-0.0733288  -0.22991446  0.06528574],"[[ 0.9140988 ]
 [-0.00492995]
 [ 0.40546156]]",[0.87468574],
2127,"[[ 17.41013794   7.13346755  -3.08533304]
 [  7.13346755  52.08608632 -15.6077803 ]
 [ -3.08533304 -15.6077803   22.75060199]]",[0.60647506 0.07832406 0.33944966],[ 0.02766271 -0.2031594   0.01074599],[-0.06235114 -0.22498898  0.08939963],"[[ 0.91353034]
 [-0.00466302]
 [ 0.40674387]]",[0.86971294],
2128,"[[ 17.96174153   8.44948976  -4.28756586]
 [  8.44948976  52.39311105 -18.46713407]
 [ -4.28756586 -18.46713407  25.37086803]]",[0.60674053 0.07632937 0.33953464],[ 0.02658129 -0.20326975  0.00831132],[-0.05199197 -0.21829511  0.11020017],"[[ 0.91505631]
 [-0.00782798]
 [ 0.40325014]]",[0.85946584],
2129,"[[ 17.60288496   7.61745708  -3.525353  ]
 [  7.61745708  52.20075927 -16.75368221]
 [ -3.525353   -16.75368221  23.75359062]]",[0.60699105 0.07432051 0.33959695],[ 0.0248748  -0.20218217  0.00416926],[-0.05847177 -0.22249367  0.0978653 ],"[[ 0.91482298]
 [-0.00561367]
 [ 0.40381604]]",[0.85426038],
2130,"[[ 17.5906533    7.5854487   -3.50633795]
 [  7.5854487   52.17320756 -16.7208949 ]
 [ -3.50633795 -16.7208949   23.72915495]]",[0.60729183 0.07167178 0.33962808],[ 0.02230401 -0.20454723  0.0033    ],[-0.05863333 -0.2225482   0.09764441],"[[ 0.9151998 ]
 [-0.00564882]
 [ 0.4029608 ]]",[0.85728727],
2131,"[[ 17.09095166   6.20791519  -2.61162542]
 [  6.20791519  51.32531487 -14.86110672]
 [ -2.61162542 -14.86110672  22.25196106]]",[0.6074442  0.0702372  0.33964172],[ 0.02033352 -0.20357563  0.00092433],[-0.06504808 -0.22641121  0.08370611],"[[0.91179689]
 [0.01243948]
 [0.41045304]]",[0.85998582],
2132,"[[ 16.94430398   5.74916022  -2.06479443]
 [  5.74916022  51.00233388 -12.570988  ]
 [ -2.06479443 -12.570988    20.51483435]]",[0.60766505 0.06820686 0.33969425],[ 0.02156268 -0.201204    0.00801039],[-0.07376126 -0.22930982  0.06690503],"[[ 0.91798459]
 [-0.00836786]
 [ 0.39652776]]",[0.85729975],
2133,"[[ 17.27914787   6.73801562  -2.27797993]
 [  6.73801562  51.49304618 -11.99944487]
 [ -2.27797993 -11.99944487  20.05675738]]",[0.60789061 0.0661898  0.3397692 ],[ 0.02267502 -0.2034326   0.00942984],[-0.07729945 -0.22965239  0.06151888],"[[ 0.89816506]
 [-0.02205604]
 [ 0.43910484]]",[0.85420364],
2134,"[[ 16.78104985   5.18152709  -1.91159082]
 [  5.18152709  50.37453185 -12.68159719]
 [ -1.91159082 -12.68159719  20.67854829]]",[0.60816896 0.06368475 0.3398451 ],[ 0.02481457 -0.21723874  0.0081468 ],[-0.07339546 -0.2293295   0.06723903],"[[0.91461293]
 [0.01124328]
 [0.40417419]]",[0.90588104],
2135,"[[ 18.01186072   8.20696713  -4.64066815]
 [  8.20696713  49.47861444 -18.93063994]
 [ -4.64066815 -18.93063994  26.70441936]]",[0.6083405  0.061966   0.33986866],[ 0.02161167 -0.21918672  0.0029032 ],[-0.04348366 -0.21271737  0.12393744],"[[ 0.92026678]
 [-0.00435079]
 [ 0.39126733]]",[0.88767602],
