,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
12,"[[ 1.60645605e+01  4.01804928e-02 -1.75872680e+00]
 [ 4.01804928e-02  1.60250071e+01 -1.09457864e+00]
 [-1.75872680e+00 -1.09457864e+00  6.39104324e+01]]",[0.43912098 0.4468947  0.28396628],[0.09163251 0.02695094 0.10695961],[-0.00709378 -0.00441496  0.19324558],"[[-0.02654376]
 [ 0.99708605]
 [ 0.07151805]]",[1.48218926],
13,"[[ 1.60611886e+01  4.13191383e-02 -1.71219150e+00]
 [ 4.13191383e-02  1.60279018e+01 -1.15620099e+00]
 [-1.71219150e+00 -1.15620099e+00  6.39109096e+01]]",[0.43940965 0.44699835 0.28433244],[0.092275   0.03409309 0.11591523],[-0.00690678 -0.00466398  0.1932669 ],"[[-0.02654376]
 [ 0.99708605]
 [ 0.07151805]]",[1.48340793],
14,"[[ 16.99167225   5.78028932  -3.63388353]
 [  5.78028932  49.69232587 -21.18129067]
 [ -3.63388353 -21.18129067  29.31600188]]",[0.44030508 0.44744985 0.28558925],[0.09911433 0.0529422  0.13886557],[-0.02204034 -0.12846942  0.08076463],"[[9.43092304e-04]
 [9.98815607e-01]
 [4.86466302e-02]]",[1.74320798],
15,"[[ 16.99238004   5.79866196  -3.60900865]
 [  5.79866196  49.88266492 -21.08811167]
 [ -3.60900865 -21.08811167  29.12495504]]",[0.44146848 0.44810204 0.28746386],[0.08061921 0.04337805 0.14174855],[-0.02209555 -0.12910843  0.08035534],"[[9.28022001e-04]
 [9.98493251e-01]
 [5.48668084e-02]]",[1.75070228],
16,"[[ 16.46211727   4.18340385  -2.11357724]
 [  4.18340385  53.87105344 -19.13355714]
 [ -2.11357724 -19.13355714  25.66682929]]",[0.44203725 0.44831057 0.28846096],[0.06970116 0.02148384 0.11900096],[-0.01567486 -0.14189961  0.07169181],"[[0.10132375]
 [0.98821042]
 [0.1147766 ]]",[2.11467046],
17,"[[ 16.46580987   4.20361895  -2.11458811]
 [  4.20361895  53.93481686 -19.08272692]
 [ -2.11458811 -19.08272692  25.59937326]]",[0.44264941 0.44837995 0.28951163],[0.07041991 0.00264254 0.11593899],[-0.0157535  -0.14216472  0.07151453],"[[0.10309178]
 [0.98766491]
 [0.11785627]]",[2.11720371],
18,"[[ 16.35760314   3.76642595  -1.68852192]
 [  3.76642595  55.66957461 -17.78421961]
 [ -1.68852192 -17.78421961  23.97282225]]",[0.44336585 0.44824375 0.29060304],[ 0.07044064 -0.01935171  0.10169879],[-0.01412502 -0.14877062  0.06669518],"[[0.15932526]
 [0.97579295]
 [0.14981182]]",[2.33849891],
19,"[[ 16.20543151   2.83513324  -1.33436497]
 [  2.83513324  55.1273009  -18.41539538]
 [ -1.33436497 -18.41539538  24.66726759]]",[0.44444363 0.44774716 0.29199669],[ 0.07200288 -0.03820684  0.08702641],[-0.01063705 -0.14680059  0.06909219],"[[0.12847826]
 [0.98065254]
 [0.14769539]]",[2.41716262],
20,"[[ 16.96690262  -4.06467095   5.38097343]
 [ -4.06467095  33.0870878  -22.62056796]
 [  5.38097343 -22.62056796  45.94600958]]",[0.44501598 0.44741308 0.29265043],[ 0.07154865 -0.04249527  0.07793057],[ 0.02209703 -0.09289164  0.12297365],"[[0.09429419]
 [0.9866934 ]
 [0.13245653]]",[2.36022376],
21,"[[ 16.97907157  -4.07835396   5.42253476]
 [ -4.07835396  32.98851398 -22.58774209]
 [  5.42253476 -22.58774209  46.03241445]]",[0.44551249 0.44710537 0.2931833 ],[ 0.07041806 -0.04432201  0.07625821],[ 0.02227372 -0.09278191  0.12336181],"[[0.09566143]
 [0.98657265]
 [0.1323756 ]]",[2.35836504],
22,"[[ 16.12282887  -1.40315109   1.97784372]
 [ -1.40315109  32.02907377 -22.59414752]
 [  1.97784372 -22.59414752  47.84809736]]",[0.44622304 0.44670339 0.29404122],[ 0.06315296 -0.03271859  0.0791657 ],[ 0.00772407 -0.08823683  0.12437625],"[[0.10357604]
 [0.98978406]
 [0.09797715]]",[2.06420192],
23,"[[ 16.60619937   4.63658248  -2.68927405]
 [  4.63658248  51.46341059 -20.56920807]
 [ -2.68927405 -20.56920807  27.93039004]]",[0.4468043  0.44645963 0.29478594],[ 0.06317375 -0.02412036  0.07977058],[-0.01762915 -0.13483849  0.07820796],"[[0.07213079]
 [0.99194988]
 [0.10407968]]",[2.05451231],
24,"[[ 16.77111766   5.37260189  -2.74848579]
 [  5.37260189  53.43248607 -19.14950305]
 [ -2.74848579 -19.14950305  25.79639627]]",[0.44749131 0.44621123 0.29556216],[ 0.07091194 -0.02996046  0.07177361],[-0.02028238 -0.14131324  0.07229224],"[[0.06607907]
 [0.98973557]
 [0.12671643]]",[2.07228333],
25,"[[ 16.83180049   5.60404894  -2.79806489]
 [  5.60404894  53.75588588 -18.85126625]
 [ -2.79806489 -18.85126625  25.41231362]]",[0.44857381 0.44568328 0.29653246],[ 0.07721506 -0.04286545  0.0648418 ],[-0.0211534  -0.14251575  0.07115718],"[[0.07568447]
 [0.9894753 ]
 [0.12333079]]",[2.14965856],
26,"[[ 16.61105724   4.83988312  -2.3522092 ]
 [  4.83988312  54.33432768 -18.63068923]
 [ -2.3522092  -18.63068923  25.05461507]]",[0.44940325 0.44513115 0.29724116],[ 0.07350403 -0.05488479  0.06077327],[-0.01824357 -0.14449832  0.07022696],"[[0.07779683]
 [0.98712431]
 [0.13976139]]",[2.18780271],
27,"[[ 16.23268094   2.89626538  -1.65111824]
 [  2.89626538  52.05088253 -20.5520772 ]
 [ -1.65111824 -20.5520772   27.71643654]]",[0.45012902 0.44454745 0.29784454],[ 0.07296176 -0.06117684  0.05748405],[-0.01103424 -0.13734729  0.07829967],"[[0.10007347]
 [0.98545983]
 [0.13731072]]",[2.17632529],
28,"[[ 16.15049573   2.32178434  -1.34553474]
 [  2.32178434  51.81950392 -20.75833916]
 [ -1.34553474 -20.75833916  28.03000035]]",[0.45092825 0.44379675 0.29840199],[ 0.07423294 -0.07197629  0.04934917],[-0.0088716  -0.13686732  0.07931819],"[[0.12207331]
 [0.98219647]
 [0.14278728]]",[2.12909395],
29,"[[ 16.47629475   4.25890799  -2.12061169]
 [  4.25890799  54.08208539 -18.96197705]
 [ -2.12061169 -18.96197705  25.44161986]]",[0.45161979 0.44307966 0.2988122 ],[ 0.0817896  -0.08463316  0.04468724],[-0.01604438 -0.14346484  0.07143456],"[[0.14207843]
 [0.97969182]
 [0.1414838 ]]",[2.07755154],
30,"[[ 16.50818021   4.40466177  -2.17562809]
 [  4.40466177  54.17749095 -18.85729846]
 [ -2.17562809 -18.85729846  25.31432884]]",[0.45220933 0.44246579 0.29915692],[ 0.08423114 -0.08666973  0.04998174],[-0.0166212  -0.14406459  0.07115892],"[[0.12820144]
 [0.98132605]
 [0.14340004]]",[2.11315094],
31,"[[ 16.50645438   4.39578099  -2.17495374]
 [  4.39578099  54.15326948 -18.87755473]
 [ -2.17495374 -18.87755473  25.34027614]]",[0.45293421 0.44171684 0.29957151],[ 0.09263117 -0.09426831  0.0513442 ],[-0.01660249 -0.14410168  0.07129893],"[[0.13061847]
 [0.98078601]
 [0.14490557]]",[2.10733908],
32,"[[ 16.51974034   4.45262221  -2.20262613]
 [  4.45262221  54.14567182 -18.86992645]
 [ -2.20262613 -18.86992645  25.33458784]]",[0.45392275 0.44068834 0.30012267],[ 0.09082087 -0.09219394  0.0508703 ],[-0.01688354 -0.14464152  0.07155136],"[[0.13267759]
 [0.97937358]
 [0.1523944 ]]",[2.10681812],
33,"[[ 16.54023006   4.54082524  -2.24055812]
 [  4.54082524  54.16724618 -18.83268546]
 [ -2.24055812 -18.83268546  25.29252376]]",[0.4548374  0.43971806 0.30063285],[ 0.08044583 -0.0861491   0.04659882],[-0.01722536 -0.14478522  0.07144069],"[[0.12342267]
 [0.98079294]
 [0.15103659]]",[2.1264028],
34,"[[ 16.31799695   3.40759289  -1.88442089]
 [  3.40759289  52.51509683 -20.19308451]
 [ -1.88442089 -20.19308451  27.16690622]]",[0.45554792 0.43896269 0.30105917],[ 0.07749369 -0.08296786  0.04717698],[-0.0130313  -0.13964087  0.0772223 ],"[[0.1266017 ]
 [0.97976862]
 [0.15500148]]",[2.10453258],
35,"[[ 16.03642556   1.09435573  -0.741273  ]
 [  1.09435573  48.87840795 -22.27052442]
 [ -0.741273   -22.27052442  31.08516649]]",[0.45629046 0.43820465 0.30150839],[ 0.0844602  -0.08484576  0.05158981],[-0.00432659 -0.12998641  0.08804762],"[[0.11577913]
 [0.98162993]
 [0.15165048]]",[2.11346736],
36,"[[ 16.24573755   2.97084129  -1.70561347]
 [  2.97084129  51.91595229 -20.61999474]
 [ -1.70561347 -20.61999474  27.83831016]]",[0.45707681 0.43743491 0.30193767],[ 0.09002095 -0.08700378  0.04819739],[-0.01141213 -0.13796684  0.07920925],"[[0.1351004 ]
 [0.9799804 ]
 [0.14624058]]",[2.06117816],
37,"[[ 16.50621784   4.37238559  -2.21910881]
 [  4.37238559  53.76586753 -19.1672412 ]
 [ -2.21910881 -19.1672412   25.72791463]]",[0.45802471 0.43650123 0.30235633],[ 0.0843906  -0.08345186  0.03595818],[-0.01661597 -0.14351807  0.07283946],"[[0.1268049 ]
 [0.98133094]
 [0.14460325]]",[2.07151076],
38,"[[ 16.51126348   4.40133435  -2.21529065]
 [  4.40133435  53.88994285 -19.07086111]
 [ -2.21529065 -19.07086111  25.59879367]]",[0.45885446 0.43566436 0.30268307],[ 0.08277716 -0.08356996  0.03187186],[-0.01674566 -0.14415903  0.07255848],"[[0.11701862]
 [0.98121856]
 [0.15335182]]",[2.08079087],
39,"[[ 16.52353208   4.45521761  -2.23751876]
 [  4.45521761  53.91355793 -19.04111188]
 [ -2.23751876 -19.04111188  25.56290999]]",[0.45965738 0.43484849 0.30300899],[ 0.08090197 -0.08292829  0.03110811],[-0.01696646 -0.14438324  0.07251278],"[[0.11917606]
 [0.98059383]
 [0.1556689 ]]",[2.08408281],
40,"[[ 16.52408918   4.43307844  -2.28679397]
 [  4.43307844  53.49778711 -19.34315276]
 [ -2.28679397 -19.34315276  25.97812371]]",[0.46278174 0.43152736 0.30372168],[ 0.09396823 -0.102714    0.01712711],[-0.01702919 -0.14404369  0.07430463],"[[0.15858094]
 [0.97495661]
 [0.15592208]]",[2.03217313],
41,"[[ 16.47504738   4.22867926  -2.16676626]
 [  4.22867926  53.64198898 -19.28767504]
 [ -2.16676626 -19.28767504  25.88296364]]",[0.46325294 0.43101451 0.30383185],[ 0.09268444 -0.1008788   0.01977473],[-0.01627058 -0.14483412  0.07421269],"[[0.16200416]
 [0.97233087]
 [0.16830724]]",[2.01919006],
42,"[[ 16.35306289   3.63458124  -1.90057485]
 [  3.63458124  53.41594199 -19.56533465]
 [ -1.90057485 -19.56533465  26.23099512]]",[0.46417865 0.43000179 0.30403334],[ 0.09370652 -0.10187129  0.02061031],[-0.01399531 -0.14407379  0.07533826],"[[0.15564368]
 [0.97323046]
 [0.169108  ]]",[2.03548588],
43,"[[ 16.30447934   3.35816234  -1.80140119]
 [  3.35816234  53.03783117 -19.86800705]
 [ -1.80140119 -19.86800705  26.65768949]]",[0.46507959 0.42900572 0.30422463],[ 0.08973947 -0.10131585  0.01516008],[-0.01294605 -0.14278457  0.07659317],"[[0.16696936]
 [0.97201217]
 [0.16526818]]",[2.01828862],
44,"[[ 16.41214456   3.94047312  -2.02132322]
 [  3.94047312  53.6744709  -19.3256699 ]
 [ -2.02132322 -19.3256699   25.91338453]]",[0.46600253 0.42798322 0.30443939],[ 0.09359746 -0.10374943  0.02343363],[-0.01514975 -0.14484524  0.07430048],"[[0.18694134]
 [0.96728387]
 [0.1715076 ]]",[1.98244677],
45,"[[ 16.46288834   4.17540893  -2.13783423]
 [  4.17540893  53.66359626 -19.28398552]
 [ -2.13783423 -19.28398552  25.8735154 ]]",[0.46695777 0.42693748 0.30468765],[ 0.09789114 -0.10602647  0.02581847],[-0.01603915 -0.14467856  0.07407628],"[[0.17117579]
 [0.97148002]
 [0.16408968]]",[2.01978021],
46,"[[ 16.22859495   2.86285876  -1.65055796]
 [  2.86285876  51.85363701 -20.67112308]
 [ -1.65055796 -20.67112308  27.91776804]]",[0.46888986 0.42487721 0.30516048],[ 0.09638515 -0.10344308  0.02080285],[-0.01116821 -0.13986751  0.08063948],"[[0.17063087]
 [0.97022287]
 [0.17190897]]",[1.99634055],
47,"[[ 16.14573715   2.25138191  -1.3803708 ]
 [  2.25138191  50.77987859 -21.32429359]
 [ -1.3803708  -21.32429359  29.07438426]]",[0.46972486 0.42397153 0.3053241 ],[ 0.09077526 -0.09904074  0.02079591],[-0.0088819  -0.13720965  0.0841262 ],"[[0.17880729]
 [0.9686537 ]
 [0.17244697]]",[1.97200358],
48,"[[ 16.02391806   0.88541294  -0.60294158]
 [  0.88541294  48.77674702 -22.32005277]
 [ -0.60294158 -22.32005277  31.19933493]]",[0.47074475 0.42286785 0.30550362],[ 0.09558982 -0.10160928  0.01599199],[-0.00357999 -0.13252639  0.09024678],"[[0.16927097]
 [0.9708636 ]
 [0.16962076]]",[1.97752191],
49,"[[ 16.10596038   1.91343436  -1.18896572]
 [  1.91343436  50.55283117 -21.47036384]
 [ -1.18896572 -21.47036384  29.34120846]]",[0.47163182 0.42192858 0.30561842],[ 0.10078263 -0.10531569  0.01101711],[-0.00759582 -0.13716549  0.08523159],"[[0.18251748]
 [0.96935515]
 [0.16443228]]",[1.94393043],
50,"[[ 16.38249074   3.75200385  -2.03364783]
 [  3.75200385  52.80489849 -19.94886066]
 [ -2.03364783 -19.94886066  26.81261077]]",[0.47297991 0.42052578 0.30572062],[ 0.10225679 -0.10577347  0.0055321 ],[-0.01465261 -0.14373331  0.07790582],"[[0.208833  ]
 [0.96414603]
 [0.16374129]]",[1.91281919],
51,"[[ 16.39696124   3.83912398  -2.03904101]
 [  3.83912398  53.12924975 -19.72014016]
 [ -2.03904101 -19.72014016  26.47378901]]",[0.47400754 0.41945466 0.30577576],[ 0.0998827  -0.10559214  0.00164808],[-0.01496102 -0.14469226  0.07684916],"[[0.17983912]
 [0.96802093]
 [0.1749096 ]]",[1.94856016],
52,"[[ 16.43083824   3.99778157  -2.12423083]
 [  3.99778157  53.09572613 -19.71090307]
 [ -2.12423083 -19.71090307  26.47343563]]",[0.47557788 0.4177674  0.30583064],[ 0.09407717 -0.10339672  0.00145646],[-0.01557015 -0.14447659  0.07676798],"[[0.17850112]
 [0.96844704]
 [0.17391861]]",[1.94952645],
53,"[[ 16.38624427   3.77889264  -2.02743946]
 [  3.77889264  52.9714988  -19.83583095]
 [ -2.02743946 -19.83583095  26.64225693]]",[0.4764357  0.41681037 0.30585273],[ 0.09713293 -0.10918045  0.0016704 ],[-0.01473195 -0.14413276  0.07732965],"[[0.19240346]
 [0.96642534]
 [0.17030259]]",[1.92888623],
54,"[[ 16.03482739   1.07050233  -0.724242  ]
 [  1.07050233  48.90442604 -22.26129425]
 [ -0.724242   -22.26129425  31.06074657]]",[0.47837705 0.41455157 0.30587027],[ 0.09621055 -0.11269169  0.00188249],[-0.00435101 -0.13373848  0.09047998],"[[0.18991054]
 [0.96658371]
 [0.17219154]]",[1.92317819],
55,"[[ 16.01141817   0.6094497   -0.42013417]
 [  0.6094497   48.52964546 -22.42484603]
 [ -0.42013417 -22.42484603  31.45893637]]",[0.47917759 0.41362031 0.30590265],[ 0.1002735  -0.11596556  0.00340358],[-0.00249843 -0.13335494  0.09193042],"[[0.2016565 ]
 [0.96431767]
 [0.17154034]]",[1.89634212],
56,"[[ 16.01053012   0.58484611  -0.40409142]
 [  0.58484611  48.48253507 -22.44336324]
 [ -0.40409142 -22.44336324  31.50693481]]",[0.47967176 0.41305049 0.30593083],[ 0.09789275 -0.11301493  0.00482744],[-0.00240074 -0.13333772  0.09212787],"[[0.20354464]
 [0.96386074]
 [0.17187804]]",[1.89189809],
57,"[[ 16.17793454   2.55989504  -1.39861877]
 [  2.55989504  52.8285029  -20.12154195]
 [ -1.39861877 -20.12154195  26.99356256]]",[0.48064505 0.41192073 0.30599845],[ 0.09510135 -0.1103228   0.00748723],[-0.01009766 -0.14527228  0.07937065],"[[0.22478092]
 [0.95750372]
 [0.18072124]]",[1.85290673],
58,"[[ 16.24326069   3.007623    -1.60360264]
 [  3.007623    53.18560517 -19.82659881]
 [ -1.60360264 -19.82659881  26.57113414]]",[0.48352408 0.40859073 0.30618868],[ 0.11137667 -0.13010568  0.00763191],[-0.01188134 -0.1468984   0.0783232 ],"[[0.23907147]
 [0.94808131]
 [0.20972998]]",[1.83322753],
59,"[[ 16.24943033   3.03230444  -1.64789874]
 [  3.03230444  52.86348059 -20.03337208]
 [ -1.64789874 -20.03337208  26.88708908]]",[0.48450859 0.40742219 0.30622456],[ 0.1099995  -0.13116801  0.00162225],[-0.01199767 -0.14585471  0.0792644 ],"[[0.24171558]
 [0.95315191]
 [0.18186536]]",[1.87476646],
60,"[[ 16.01129677   0.60376696  -0.42140572]
 [  0.60376696  48.26891903 -22.52244311]
 [ -0.42140572 -22.52244311  31.71978421]]",[0.48504612 0.40677913 0.30623208],[ 0.10681996 -0.12781381  0.0029886 ],[-0.00250371 -0.13381347  0.09339657],"[[0.22158021]
 [0.95822348]
 [0.180859  ]]",[1.87629782],
61,"[[ 16.00882791   0.53253181  -0.37426126]
 [  0.53253181  48.12427566 -22.57681454]
 [ -0.37426126 -22.57681454  31.86689643]]",[0.48608347 0.40553843 0.30623933],[ 0.10384358 -0.12184747  0.00227064],[-0.002216   -0.13367756  0.09394806],"[[0.22565275]
 [0.95716156]
 [0.18144581]]",[1.86674856],
62,"[[ 16.00200531   0.24765275  -0.18686574]
 [  0.24765275  46.58479436 -23.07767647]
 [ -0.18686574 -23.07767647  33.41320034]]",[0.48699302 0.40445822 0.30625484],[ 0.10051905 -0.12088595 -0.00082006],[-0.00105353 -0.130109    0.09817341],"[[0.23669767]
 [0.95587516]
 [0.17400254]]",[1.82287099],
63,"[[ 16.04756835   1.25214893  -0.84447674]
 [  1.25214893  48.96050942 -22.22929135]
 [ -0.84447674 -22.22929135  30.99192224]]",[0.48818185 0.40304842 0.30626851],[ 0.09688431 -0.11456668  0.00133063],[-0.00516594 -0.13598377  0.09171044],"[[0.24072934]
 [0.95504149]
 [0.17304663]]",[1.79766766],
64,"[[ 16.23654614   2.91752785  -1.66921899]
 [  2.91752785  51.98439038 -20.58791924]
 [ -1.66921899 -20.58791924  27.77906348]]",[0.48898407 0.40210572 0.30627121],[ 0.09909347 -0.11596283  0.00210372],[-0.01165709 -0.14377699  0.08225981],"[[0.25177539]
 [0.95177612]
 [0.17530366]]",[1.78016375],
65,"[[ 16.24721579   2.98507927  -1.701336  ]
 [  2.98507927  52.04421115 -20.54327821]
 [ -1.701336   -20.54327821  27.70857306]]",[0.4901798  0.40069224 0.30627033],[ 0.10064557 -0.11857107  0.0015991 ],[-0.01192752 -0.14402232  0.08208504],"[[0.25510201]
 [0.95064741]
 [0.17661389]]",[1.78579114],
66,"[[ 16.25326121   3.02387549  -1.71714122]
 [  3.02387549  52.10431652 -20.50223643]
 [ -1.71714122 -20.50223643  27.64242227]]",[0.49086217 0.39986659 0.3062685 ],[ 0.09676074 -0.11646611  0.00109054],[-0.01208136 -0.14424838  0.08191304],"[[0.25800973]
 [0.94967019]
 [0.17764435]]",[1.79088677],
67,"[[ 16.24861544   2.99398825  -1.70521723]
 [  2.99398825  52.05554689 -20.5353311 ]
 [ -1.70521723 -20.5353311   27.69583767]]",[0.4916062  0.3989488  0.30626346],[ 0.09468638 -0.11720857  0.00061121],[-0.01197889 -0.14425761  0.0821615 ],"[[0.26109008]
 [0.94875534]
 [0.17803166]]",[1.78409708],
68,"[[ 16.05602375   1.3801814   -0.88379908]
 [  1.3801814   50.00166151 -21.77296182]
 [ -0.88379908 -21.77296182  29.94231473]]",[0.49272917 0.39755246 0.30624993],[ 0.09672747 -0.12048871 -0.0043814 ],[-0.00566102 -0.13946294  0.08930508],"[[0.24925437]
 [0.95113549]
 [0.18224584]]",[1.79318799],
69,"[[ 16.00824966   0.51700469  -0.35863883]
 [  0.51700469  48.40058667 -22.47582812]
 [ -0.35863883 -22.47582812  31.59116367]]",[0.49403286 0.39593459 0.30623604],[ 0.10290272 -0.12814435 -0.00060266],[-0.00217213 -0.13612718  0.0944295 ],"[[0.26005564]
 [0.94818196]
 [0.18254323]]",[1.76539915],
70,"[[ 16.01973507   0.81080431  -0.53804313]
 [  0.81080431  49.31143597 -22.1051975 ]
 [ -0.53804313 -22.1051975   30.66882896]]",[0.49530925 0.39432719 0.30621746],[ 0.10758498 -0.13625553 -0.00329964],[-0.00337842 -0.13880063  0.09210697],"[[0.26709388]
 [0.94612727]
 [0.18304108]]",[1.74466054],
71,"[[ 16.10046525   1.88793286  -1.11711609]
 [  1.88793286  51.47784335 -20.99273259]
 [ -1.11711609 -20.99273259  28.4216914 ]]",[0.49628491 0.39308935 0.30620253],[ 0.10578129 -0.13442711  0.00034571],[-0.00768874 -0.14448595  0.08549434],"[[0.27473628]
 [0.94415482]
 [0.18191112]]",[1.73168449],
72,"[[ 16.11107419   1.99053682  -1.16489784]
 [  1.99053682  51.67198388 -20.87588454]
 [ -1.16489784 -20.87588454  28.21694193]]",[0.4975604  0.39148176 0.30621292],[ 0.10428271 -0.1314085   0.00165618],[-0.00810149 -0.14518506  0.0849649 ],"[[0.27971415]
 [0.94268052]
 [0.18197097]]",[1.72435874],
73,"[[ 16.23156174   2.86853475  -1.68310754]
 [  2.86853475  51.53476347 -20.84995779]
 [ -1.68310754 -20.84995779  28.23367479]]",[0.49808626 0.39082185 0.30622079],[ 0.10405649 -0.13061177  0.00119877],[-0.01166063 -0.14444928  0.08475535],"[[0.30563774]
 [0.93385941]
 [0.18572068]]",[1.69874274],
74,"[[ 16.4072732    3.77110142  -2.27201145]
 [  3.77110142  50.91809935 -21.03744045]
 [ -2.27201145 -21.03744045  28.67462746]]",[0.49901883 0.38963935 0.30623831],[ 0.10229018 -0.12980676  0.00266299],[-0.01541705 -0.14275252  0.08600548],"[[0.30940979]
 [0.93518759]
 [0.17230712]]",[1.71345628],
75,"[[ 16.15590159   2.17249595  -1.65506261]
 [  2.17249595  46.27383325 -23.06337524]
 [ -1.65506261 -23.06337524  33.57026516]]",[0.5008111  0.38732668 0.30626701],[ 0.10287755 -0.13403459  0.00063578],[-0.0094724  -0.13199829  0.10055965],"[[0.28539736]
 [0.9422612 ]
 [0.17519183]]",[1.70592409],
76,"[[ 16.0289879    0.94520791  -0.70509653]
 [  0.94520791  46.82037196 -22.99106584]
 [ -0.70509653 -22.99106584  33.15064014]]",[0.50163754 0.38625206 0.30627306],[ 0.10536817 -0.13699111  0.00420839],[-0.00411597 -0.13420948  0.10011621],"[[0.27025704]
 [0.94310933]
 [0.19366448]]",[1.68671177],
77,"[[ 16.05570096   1.36111618  -0.90438156]
 [  1.36111618  49.26042157 -22.09959174]
 [ -0.90438156 -22.09959174  30.68387747]]",[0.50330276 0.38408476 0.30630941],[ 0.09646751 -0.12513549  0.00287057],[-0.00574033 -0.14027146  0.09320212],"[[0.29828187]
 [0.93612817]
 [0.18625784]]",[1.66414492],
78,"[[ 16.09647288   1.84201118  -1.10832578]
 [  1.84201118  51.17055984 -21.16188999]
 [ -1.10832578 -21.16188999  28.73296728]]",[0.50407584 0.38308918 0.3063356 ],[ 0.09945053 -0.1261833   0.0052039 ],[-0.00760024 -0.14511568  0.08731513],"[[0.31596153]
 [0.93127332]
 [0.18137895]]",[1.65804067],
