,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
0,"[[ 16.02645418   1.09967257  -0.24458364]
 [  1.09967257  61.71223392 -10.16708505]
 [ -0.24458364 -10.16708505  18.2613119 ]]",[0.43120008 0.45270764 0.28104427],[ 7.88510326e-04  1.07173532e-04 -9.17763309e-05],[-0.00475345 -0.19759586  0.04394828],"[[0.6404128 ]
 [0.6813816 ]
 [0.35438758]]",[4.0497402],False
1,"[[ 16.02645687   1.09972958  -0.24459117]
 [  1.09972958  61.71232213 -10.1668905 ]
 [ -0.24459117 -10.1668905   18.26122099]]",[0.43120055 0.45271489 0.28104722],[ 0.00095966 -0.00337988 -0.00237509],[-0.00475367 -0.19759539  0.04394725],"[[0.64040602]
 [0.68138726]
 [0.35438895]]",[4.04980305],
2,"[[ 16.02676465   1.10610764  -0.24599383]
 [  1.10610764  61.71230704 -10.16623082]
 [ -0.24599383 -10.16623082  18.26092831]]",[0.43132225 0.45255654 0.28104276],[ 0.00972432 -0.01665462 -0.00235524],[-0.00478155 -0.19760807  0.04394723],"[[0.64067628]
 [0.6811265 ]
 [0.35440173]]",[4.04948801],
3,"[[ 16.02753746   1.1219781   -0.24940916]
 [  1.1219781   61.71354212 -10.16185286]
 [ -0.24940916 -10.16185286  18.25892042]]",[0.43160961 0.45220602 0.28108855],[ 0.03447089 -0.04070818  0.00808001],[-0.00485079 -0.197639    0.04393399],"[[0.64127038]
 [0.68050832]
 [0.35451476]]",[4.04910576],
4,"[[ 16.02855078   1.14245924  -0.25378989]
 [  1.14245924  61.71549328 -10.15539948]
 [ -0.25378989 -10.15539948  18.25595594]]",[0.4319737  0.45174339 0.28116796],[ 0.04050655 -0.05167861  0.00603568],[-0.00494017 -0.19768088  0.04391352],"[[0.64202866]
 [0.67969542]
 [0.35470176]]",[4.04857721],
5,"[[ 16.02969778   1.1652014   -0.25868353]
 [  1.1652014   61.71703046 -10.14952677]
 [ -0.25868353 -10.14952677  18.25327176]]",[0.43238443 0.45120985 0.28122885],[ 0.04490445 -0.05482401  0.00816864],[-0.00503953 -0.19772753  0.04389701],"[[0.64290543]
 [0.67877835]
 [0.35486978]]",[4.04780804],
6,"[[ 16.03111032   1.19261548  -0.26456704]
 [  1.19261548  61.71896994 -10.14218976]
 [ -0.26456704 -10.14218976  18.24991974]]",[0.4328802  0.45061069 0.28130077],[ 0.05054095 -0.06089825  0.00499294],[-0.00515924 -0.1977798   0.04387501],"[[0.64392605]
 [0.67771651]
 [0.35504869]]",[4.04718943],
7,"[[ 16.03294182   1.22724569  -0.27201152]
 [  1.22724569  61.72096908 -10.13377374]
 [ -0.27201152 -10.13377374  18.2460891 ]]",[0.43351557 0.44991472 0.28136139],[ 0.06725714 -0.07393018  0.00111571],[-0.0053104  -0.19783875  0.04384975],"[[0.64518632]
 [0.67644192]
 [0.3551914 ]]",[4.04678776],
8,"[[ 16.03518923   1.26844477  -0.28087801]
 [  1.26844477  61.72286158 -10.12463989]
 [ -0.28087801 -10.12463989  18.2419492 ]]",[0.4342795  0.44913709 0.28140438],[ 0.07815066 -0.0782874   0.00615641],[-0.00549022 -0.19790269  0.04382257],"[[0.64666295]
 [0.67498136]
 [0.35528467]]",[4.0466203],
9,"[[21.35592469  9.76330211 11.53587394]
 [ 9.76330211 33.79749972 21.02871661]
 [11.53587394 21.02871661 40.84657559]]",[0.43513046 0.44828457 0.28144381],[ 0.08434006 -0.08385332  0.00474753],[0.08350964 0.15222952 0.17986748],"[[0.04375958]
 [0.99705373]
 [0.06299966]]",[2.18257026],
10,"[[16.02674692  0.75447921  0.8449247 ]
 [ 0.75447921 37.28241061 23.83370448]
 [ 0.8449247  23.83370448 42.69084247]]",[0.43616102 0.44726344 0.28149035],[ 0.08201437 -0.07611684  0.00890045],[0.00590142 0.16646763 0.18642345],"[[ 0.00350393]
 [ 0.99938604]
 [-0.03486078]]",[1.42661877],
11,"[[16.03313202  0.83907062  0.94085066]
 [ 0.83907062 37.24951623 23.82710221]
 [ 0.94085066 23.82710221 42.71735174]]",[0.43676614 0.44683528 0.28174166],[ 0.07862631 -0.05176679  0.03294651],[0.00656815 0.16633893 0.186516  ],"[[ 0.00350393]
 [ 0.99938604]
 [-0.03486078]]",[1.42227334],
