,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
10,"[[79.31750925 56.44352131 37.88724581]
 [56.44352131 91.78967371 27.63761106]
 [37.88724581 27.63761106 40.14878224]]",[0.43098754 0.44915566 0.28288124],[-0.00210211 -0.095081    0.00232701],[-0.00485462 -0.19800292  0.04374999],"[[0.64232472]
 [0.67705764]
 [0.35918227]]",[4.0308051],
11,"[[79.48084762 56.41784903 37.97025394]
 [56.41784903 91.63727481 27.59801933]
 [37.97025394 27.59801933 40.19369292]]",[0.43101338 0.44813447 0.28283977],[ 0.00538614 -0.10473026 -0.00094736],[-0.00486787 -0.19809001  0.04380757],"[[0.64322156]
 [0.67599601]
 [0.35957673]]",[4.02391348],
12,"[[79.66265543 56.39115798 38.0590177 ]
 [56.39115798 91.46874108 27.55258016]
 [38.0590177  27.55258016 40.23924322]]",[0.43108471 0.44705247 0.28279967],[ 0.0091846  -0.10736704 -0.00195123],[-0.00489227 -0.19818264  0.04386434],"[[0.64422051]
 [0.67482813]
 [0.35998186]]",[4.01692046],
13,"[[79.8388535  56.36040782 38.15249247]
 [56.36040782 91.29835979 27.51299413]
 [38.15249247 27.51299413 40.29194839]]",[0.43115531 0.44598018 0.28280427],[ 0.00931684 -0.10669558  0.00337964],[-0.00491964 -0.19827722  0.04391089],"[[0.64519161]
 [0.67364537]
 [0.36045762]]",[4.01016235],
14,"[[80.01712026 56.33176123 38.24105751]
 [56.33176123 91.13302498 27.46806604]
 [38.24105751 27.46806604 40.33855647]]",[0.43119786 0.4448915  0.2827581 ],[ 0.00460479 -0.10781179 -0.00444861],[-0.0049381  -0.19837125  0.04397114],"[[0.64616863]
 [0.67248766]
 [0.36086902]]",[4.0029431],
15,"[[80.20961801 56.30701975 38.32457927]
 [56.30701975 90.96613352 27.41155774]
 [38.32457927 27.41155774 40.37503605]]",[0.43123604 0.44375428 0.28263644],[ 0.0023501  -0.11329251 -0.01381719],[-0.00495167 -0.19846614  0.04405028],"[[0.64721643]
 [0.67131263]
 [0.36117898]]",[3.99510979],
16,"[[80.41100932 56.27957453 38.41368676]
 [56.27957453 90.78930214 27.35366027]
 [38.41368676 27.35366027 40.41512938]]",[0.43128829 0.44257235 0.28252748],[ 0.00693618 -0.11914082 -0.00841343],[-0.00497012 -0.19856613  0.04412768],"[[0.64831315]
 [0.67006711]
 [0.36152472]]",[3.98712743],
17,"[[80.70305793 56.23006417 38.5592681 ]
 [56.23006417 90.51299223 27.28193584]
 [38.5592681  27.28193584 40.49146368]]",[0.43145643 0.44088958 0.28251841],[ 0.01464569 -0.1190308   0.00223226],[-0.00502762 -0.19871636  0.04419875],"[[0.6499154 ]
 [0.66813693]
 [0.36221957]]",[3.97692661],
18,"[[80.83124437 56.20672014 38.62530588]
 [56.20672014 90.38910597 27.25190114]
 [38.62530588 27.25190114 40.5273416 ]]",[0.43154276 0.44015621 0.28253437],[ 0.01347272 -0.11999625  0.00294276],[-0.00505725 -0.19878309  0.04422423],"[[0.65061974]
 [0.66727167]
 [0.36254996]]",[3.97264903],
19,"[[81.04732405 56.17014945 38.73013091]
 [56.17014945 90.18754638 27.1963569 ]
 [38.73013091 27.1963569  40.58054243]]",[0.43166404 0.43892275 0.28251122],[ 0.01164448 -0.12271251 -0.00461441],[-0.00509895 -0.19889335  0.04427956],"[[0.65180129]
 [0.66585459]
 [0.3630327 ]]",[3.96513303],
20,"[[ 18.44788514   5.79140313   5.67337018]
 [  5.79140313 158.85634879  10.64827689]
 [  5.67337018  10.64827689  29.20854458]]",[0.43177999 0.43693506 0.28241124],[ 0.00712855 -0.12093593 -0.00247716],[0.07691674 0.15688286 0.17880599],"[[0.04405788]
 [0.99557806]
 [0.08296526]]",[2.12862329],
21,"[[ 16.28318406   4.9770282   -1.65682551]
 [  4.9770282  159.40495912  -7.23240084]
 [ -1.65682551  -7.23240084  34.25798735]]",[0.43187968 0.43581768 0.2823578 ],[ 0.01463163 -0.12569817 -0.00647811],[-0.00936771  0.16794543  0.18495021],"[[ 0.0352182 ]
 [ 0.99770391]
 [-0.05784976]]",[1.45930437],
22,"[[ 16.27891407   4.98023022  -1.62912459]
 [  4.98023022 159.40199634  -7.25676603]
 [ -1.62912459  -7.25676603  34.26553375]]",[0.43203817 0.43457993 0.28239191],[ 0.01328992 -0.09882344  0.01369755],[-0.00905026  0.16796922  0.18494441],"[[ 0.03522997]
 [ 0.99769254]
 [-0.05803831]]",[1.4469914],
23,"[[ 16.27590964   4.96605584  -1.60510695]
 [  4.96605584 159.43224227  -7.00361608]
 [ -1.60510695  -7.00361608  34.20037932]]",[0.43209611 0.43436546 0.28295184],[0.0090333  0.00076921 0.05873007],[-0.00894166  0.16777401  0.18512679],"[[ 0.03510255]
 [ 0.99781357]
 [-0.05599895]]",[1.44455261],
24,"[[18.39926667 -0.50269891 -9.42921033]
 [-0.50269891 16.10532643  1.97562607]
 [-9.42921033  1.97562607 53.05715933]]",[0.43212248 0.43552165 0.28411622],[-4.89328458e-05  1.29936346e-01  1.14059984e-01],[-0.04408748 -0.0221304   0.17043889],"[[ 0.03437608]
 [ 0.99841858]
 [-0.04448162]]",[1.47918258],
25,"[[18.41084477 -0.45536344 -9.37127899]
 [-0.45536344 16.08600963  1.77005914]
 [-9.37127899  1.77005914 52.42742615]]",[0.43214832 0.43704459 0.28532689],[0.00280776 0.17079665 0.13663438],[-0.04398585 -0.02501732  0.16790508],"[[ 0.0340771 ]
 [ 0.99862808]
 [-0.03975809]]",[1.49388847],
26,"[[16.7547875   0.06906398 -2.37544052]
 [ 0.06906398 16.00631944 -0.21735571]
 [-2.37544052 -0.21735571 23.47590242]]",[0.43234682 0.44061189 0.28859224],[-0.0037705   0.11110561  0.1145455 ],[-0.02890136 -0.12997582  0.07767226],"[[0.02164203]
 [0.99912011]
 [0.03592527]]",[1.84354484],
27,"[[16.12740834  0.09700899 -0.96345484]
 [ 0.09700899 16.07386286 -0.73357665]
 [-0.96345484 -0.73357665 23.28559222]]",[0.43168538 0.44214886 0.29029761],[-0.05289828  0.07980253  0.09539475],[-0.01779987 -0.14244504  0.07017367],"[[0.04909322]
 [0.99310148]
 [0.10648622]]",[2.19997155],
28,"[[ 1.60004988e+01 -8.74680799e-03  6.01822581e-02]
 [-8.74680799e-03  1.61533694e+01 -1.05525562e+00]
 [ 6.01822581e-02 -1.05525562e+00  2.32606677e+01]]",[0.43074849 0.44304395 0.29146832],[-0.04874908  0.03725307  0.06508191],[-0.01425036 -0.14808652  0.06652515],"[[0.10859763]
 [0.98387777]
 [0.14209532]]",[2.36072551],
29,"[[ 17.74937417  15.60323727   2.12628675]
 [ 15.60323727 155.39963871  17.70362605]
 [  2.12628675  17.70362605  25.52396232]]",[0.43031659 0.44316893 0.29242465],[-0.01190335 -0.00431643  0.04765777],[-0.01485101 -0.14782104  0.06645084],"[[0.11039861]
 [0.98509562]
 [0.13190437]]",[2.38371122],
30,"[[ 1.60005550e+01 -2.66908619e-04  3.05789197e-02]
 [-2.66908619e-04  1.61644396e+01 -9.53456592e-01]
 [ 3.05789197e-02 -9.53456592e-01  2.30482103e+01]]",[0.43018922 0.44313824 0.29297443],[-0.01535651  0.00590042  0.04184685],[-0.01487459 -0.14792203  0.06639231],"[[0.1100344 ]
 [0.98493119]
 [0.1334278 ]]",[2.38399787],
31,"[[ 16.79285791  10.22435427   2.13330785]
 [ 10.22435427 156.93221229  17.01796473]
 [  2.13330785  17.01796473  33.85970041]]",[0.42994074 0.44317789 0.29326369],[-0.02410267 -0.0024599   0.01804058],[-0.0021356  -0.11564262  0.09602231],"[[0.07256078]
 [0.98824595]
 [0.13455437]]",[2.27424391],
32,"[[ 16.45626711   7.78579229   1.6159017 ]
 [  7.78579229 157.33773645  16.57849592]
 [  1.6159017   16.57849592  35.97964273]]",[0.42945495 0.44300609 0.29339133],[-0.00897928 -0.01077495  0.00562144],[-0.00150283 -0.10872045  0.10239512],"[[0.05517186]
 [0.98957905]
 [0.13300143]]",[2.15718731],
33,"[[ 16.37195319   7.17096595   0.53652088]
 [  7.17096595 157.37834736  17.05091082]
 [  0.53652088  17.05091082  31.15699371]]",[0.4298081  0.44227984 0.2932173 ],[ 0.03213385 -0.06487992 -0.02024984],[-0.00889113 -0.1241011   0.08863379],"[[0.04992296]
 [0.9900934 ]
 [0.13123552]]",[2.10943514],
34,"[[ 16.58034898   8.38873856   0.17725163]
 [  8.38873856 157.37360522  16.89033928]
 [  0.17725163  16.89033928  26.25915881]]",[0.43073679 0.44039827 0.29269551],[ 0.04103658 -0.09472099 -0.0307486 ],[-0.01735471 -0.14237184  0.07196551],"[[0.05808606]
 [0.99043468]
 [0.12516052]]",[2.11561129],
35,"[[ 16.60999982   8.69397304   0.24185302]
 [  8.69397304 157.35616693  16.80637891]
 [  0.24185302  16.80637891  26.32591671]]",[0.43136526 0.43887041 0.29232833],[ 0.05040154 -0.10757726 -0.0161621 ],[-0.01723783 -0.1420881   0.07249226],"[[0.06025812]
 [0.99037242]
 [0.12462511]]",[2.10039258],
36,"[[ 16.49333147   7.72647217   0.18601996]
 [  7.72647217 157.29556568  17.46785902]
 [  0.18601996  17.46785902  26.51298205]]",[0.43250418 0.4367329  0.29198685],[ 0.07819075 -0.13988656 -0.0240585 ],[-0.01607921 -0.1429626   0.07204948],"[[0.05347651]
 [0.9901181 ]
 [0.12963951]]",[2.13027633],
37,"[[ 16.25720738   5.91670252   0.93951319]
 [  5.91670252 158.32145629  13.6369611 ]
 [  0.93951319  13.6369611   29.66446397]]",[0.4334203  0.43511731 0.29177695],[ 0.08465992 -0.14518969 -0.01178083],[-0.00211171 -0.12492393  0.09024349],"[[0.04158308]
 [0.99367953]
 [0.10426809]]",[2.21716932],
38,"[[ 16.29500333   6.29022656   1.06215702]
 [  6.29022656 158.29535884  13.59158536]
 [  1.06215702  13.59158536  29.86110107]]",[0.43427653 0.43362174 0.29170073],[ 0.07024709 -0.12522017 -0.00743695],[-0.00171826 -0.1244187   0.09109817],"[[0.04426036]
 [0.9935784 ]
 [0.10412964]]",[2.20259696],
39,"[[ 16.85313064  10.83193639   0.51884936]
 [ 10.83193639 157.95639601  12.81177085]
 [  0.51884936  12.81177085  25.06697393]]",[0.43486599 0.43258431 0.29171504],[ 0.05389122 -0.09634651  0.00042412],[-0.01564961 -0.13933977  0.07394368],"[[0.07545712]
 [0.99265705]
 [0.09454205]]",[2.05360547],
40,"[[ 16.61193415   8.80484437   0.22007172]
 [  8.80484437 157.70466787  15.32463241]
 [  0.22007172  15.32463241  25.92347616]]",[0.43582772 0.43132287 0.29188745],[ 0.06748868 -0.07685367  0.01170668],[-0.01656577 -0.14041751  0.07334354],"[[0.06106804]
 [0.9916657 ]
 [0.1134453 ]]",[2.05524277],
41,"[[ 16.63432574   8.89222423   0.22621184]
 [  8.89222423 157.4533748   16.31432218]
 [  0.22621184  16.31432218  26.36380947]]",[0.43767794 0.42942103 0.29206091],[ 0.09763626 -0.09988308  0.00409319],[-0.01733104 -0.1409476   0.07362786],"[[0.06164084]
 [0.99073035]
 [0.12105282]]",[2.05738664],
42,"[[ 16.68463157   9.32282934   0.30627084]
 [  9.32282934 157.3746895   16.39691534]
 [  0.30627084  16.39691534  26.50125258]]",[0.43919773 0.42773107 0.29194405],[ 0.07946788 -0.0946132  -0.01229581],[-0.01747559 -0.14106851  0.07432568],"[[0.06468984]
 [0.99044443]
 [0.12179924]]",[2.05750155],
43,"[[ 17.19960895  12.88263457   1.20418115]
 [ 12.88263457 156.48709577  17.55839817]
 [  1.20418115  17.55839817  27.21103101]]",[0.44081391 0.42587263 0.29168707],[ 0.09188442 -0.10269513 -0.01389534],[-0.01713933 -0.14129657  0.07524393],"[[0.09016955]
 [0.98722588]
 [0.13135643]]",[2.02162097],
44,"[[ 17.35577556  13.74008913   1.40602126]
 [ 13.74008913 156.3282563   17.51405718]
 [  1.40602126  17.51405718  27.33171378]]",[0.44261486 0.42379831 0.29140871],[ 0.11920375 -0.14121196 -0.01830946],[-0.01696317 -0.14099544  0.07591217],"[[0.09633265]
 [0.98665465]
 [0.13127306]]",[2.00246241],
45,"[[ 17.49869088  14.4683193    1.58021734]
 [ 14.4683193  156.18298346  17.48042492]
 [  1.58021734  17.48042492  27.44586764]]",[0.4441192  0.42192559 0.29117625],[ 0.10970447 -0.14239315 -0.0175144 ],[-0.01679807 -0.14072793  0.07652322],"[[0.10157848]
 [0.98613068]
 [0.13125581]]",[1.98517336],
46,"[[ 17.48924271  14.46259405   1.70930743]
 [ 14.46259405 156.45626604  16.38613399]
 [  1.70930743  16.38613399  27.88930109]]",[0.44536636 0.42023965 0.29102672],[ 0.08281077 -0.11324405 -0.00877276],[-0.01394793 -0.13753082  0.0805394 ],"[[0.1016586 ]
 [0.98709271]
 [0.12374773]]",[2.01516116],
47,"[[ 17.6197787   15.07099465   1.86379384]
 [ 15.07099465 156.31104612  16.42446685]
 [  1.86379384  16.42446685  28.01558523]]",[0.44662782 0.41865565 0.29101592],[ 8.67270709e-02 -1.03497735e-01  3.50210841e-05],[-0.01379643 -0.13736968  0.08104244],"[[0.1060549 ]
 [0.98656463]
 [0.12426818]]",[2.00082643],
48,"[[ 18.52755041  18.68039341   2.82260677]
 [ 18.68039341 154.97211519  18.00140733]
 [  2.82260677  18.00140733  28.13130029]]",[0.44857464 0.41645305 0.29098486],[ 0.11818274 -0.13232657 -0.00321963],[-0.01493576 -0.14071191  0.07854278],"[[0.13235787]
 [0.98170997]
 [0.13684639]]",[1.93234687],
49,"[[ 18.91822428  19.99383668   3.17525846]
 [ 19.99383668 154.57968288  18.00426169]
 [  3.17525846  18.00426169  28.27722371]]",[0.45076409 0.4139621  0.29093276],[ 0.10059937 -0.11449358 -0.00354526],[-0.01462116 -0.14059591  0.07917019],"[[0.14201609]
 [0.98028039]
 [0.13741103]]",[1.91564501],
50,"[[ 19.02080053  20.32687801   3.24792461]
 [ 20.32687801 154.48412119  17.97698655]
 [  3.24792461  17.97698655  28.31269997]]",[0.45177823 0.41284863 0.29089693],[ 0.09392429 -0.10252527 -0.00379311],[-0.01466021 -0.14047466  0.07936779],"[[0.14445441]
 [0.97993452]
 [0.1373363 ]]",[1.90890631],
51,"[[ 19.1681      20.79286079   3.35453207]
 [ 20.79286079 154.34590708  17.94052361]
 [  3.35453207  17.94052361  28.39678342]]",[0.45327328 0.41121304 0.29082155],[ 0.11238441 -0.12515984 -0.00834884],[-0.01467337 -0.14023982  0.07980437],"[[0.14787633]
 [0.97943074]
 [0.1372881 ]]",[1.8954436],
52,"[[ 19.02598062  20.04269472   3.78915155]
 [ 20.04269472 154.6801257   17.30661874]
 [  3.78915155  17.30661874  30.98662714]]",[0.45606905 0.40793996 0.29063609],[ 0.11164433 -0.13746279 -0.01027337],[-0.00818779 -0.13086899  0.09049226],"[[0.1430298 ]
 [0.9803695 ]
 [0.13571339]]",[1.88484575],
53,"[[ 20.02062999  22.8579111    4.84113859]
 [ 22.8579111  153.24052128  18.87307223]
 [  4.84113859  18.87307223  32.09216088]]",[0.45757607 0.40607038 0.29055016],[ 0.08708747 -0.10704068 -0.00482053],[-0.00806334 -0.13070025  0.09097979],"[[0.16438843]
 [0.97491269]
 [0.15007231]]",[1.79217419],
54,"[[ 20.25530779  23.70126254   4.59256201]
 [ 23.70126254 153.02256932  18.81044303]
 [  4.59256201  18.81044303  30.1010036 ]]",[0.45917307 0.40425568 0.29057841],[ 0.10100923 -0.1129741  -0.00285631],[-0.01171099 -0.13705345  0.08438842],"[[0.17009429]
 [0.97438484]
 [0.1471126 ]]",[1.77767489],
55,"[[ 20.74296142  25.06504317   4.4621954 ]
 [ 25.06504317 152.98366503  17.308529  ]
 [  4.4621954   17.308529    28.89769406]]",[0.46141512 0.40170172 0.2905866 ],[ 0.11597741 -0.13617336  0.00141028],[-0.01320994 -0.13870554  0.0831224 ],"[[0.17970978]
 [0.97444475]
 [0.13476579]]",[1.79656781],
56,"[[ 21.16745724  26.06358719   4.76138322]
 [ 26.06358719 152.56083226  17.35153857]
 [  4.76138322  17.35153857  29.0920446 ]]",[0.46333578 0.39939694 0.29062994],[ 0.09701336 -0.11759669  0.00397323],[-0.01293791 -0.13856837  0.08384409],"[[0.18729803]
 [0.97287583]
 [0.13576478]]",[1.77770987],
57,"[[ 21.45868324  26.71999341   4.96378414]
 [ 26.71999341 152.2688491   17.39054668]
 [  4.96378414  17.39054668  29.22593585]]",[0.46459358 0.39787667 0.29068963],[ 0.09956716 -0.1179376   0.00571041],[-0.01275794 -0.13849279  0.0843172 ],"[[0.19231734]
 [0.97178889]
 [0.13652984]]",[1.76539642],
58,"[[ 21.98165402  27.84892654   5.30621398]
 [ 27.84892654 151.76188853  17.40650101]
 [  5.30621398  17.40650101  29.43062132]]",[0.46675471 0.39533697 0.29068713],[ 0.12878507 -0.15308878 -0.00268564],[-0.01244014 -0.13835376  0.08511577],"[[0.20098857]
 [0.96990013]
 [0.13746758]]",[1.74498592],
59,"[[ 22.49866633  28.90707854   5.62985442]
 [ 28.90707854 151.27059727  17.39553035]
 [  5.62985442  17.39553035  29.62132753]]",[0.46875277 0.39288489 0.29062836],[ 0.1170096  -0.14733181 -0.00320617],[-0.01211789 -0.13820947  0.08590594],"[[0.20917555]
 [0.96806398]
 [0.13819449]]",[1.72524204],
60,"[[ 22.8294718   29.55676751   5.83557469]
 [ 29.55676751 150.95233513  17.40473917]
 [  5.83557469  17.40473917  29.74613703]]",[0.46997807 0.39137876 0.2906374 ],[ 0.09846695 -0.11995833 -0.00081555],[-0.01192125 -0.13814122  0.08638518],"[[0.21424053]
 [0.96686994]
 [0.13879309]]",[1.7132772],
61,"[[ 23.04983035  29.97906433   5.97067759]
 [ 29.97906433 150.73968776  17.41400842]
 [  5.97067759  17.41400842  29.82519996]]",[0.47078188 0.39043788 0.29065779],[ 0.090539   -0.10523     0.00328979],[-0.0117993  -0.13810962  0.08667737],"[[0.217547  ]
 [0.96607088]
 [0.13921335]]",[1.70594763],
62,"[[ 22.46792445  28.71794506   5.8738036 ]
 [ 28.71794506 151.18409169  17.89488938]
 [  5.8738036   17.89488938  30.06362493]]",[0.47241904 0.38849317 0.29064961],[ 0.10934202 -0.13402574 -0.00209364],[-0.01079761 -0.13877517  0.08706703],"[[0.20814462]
 [0.96763649]
 [0.14267251]]",[1.72018062],
63,"[[ 23.13202785  29.78147376   6.61800769]
 [ 29.78147376 150.65516836  17.70579687]
 [  6.61800769  17.70579687  31.71703237]]",[0.47390975 0.38659238 0.29056753],[ 0.11412662 -0.14645262 -0.00591212],[-0.00725298 -0.13404238  0.09333416],"[[0.21705145]
 [0.96541401]
 [0.14444531]]",[1.6973408],
64,"[[ 24.95368717  33.29150928   7.21751024]
 [ 33.29150928 148.79130082  17.89217229]
 [  7.21751024  17.89217229  30.69908911]]",[0.47650091 0.38328895 0.29044212],[ 0.09303427 -0.11283585 -0.00115307],[-0.01071542 -0.13841323  0.08924148],"[[0.24414188]
 [0.95864307]
 [0.14628129]]",[1.65199552],
65,"[[ 25.18506545  33.66585138   7.34414292]
 [ 33.66585138 148.57550501  17.88302501]
 [  7.34414292  17.88302501  30.76446403]]",[0.47721016 0.38245472 0.29043697],[ 1.02818504e-01 -1.20591370e-01  7.32899129e-05],[-0.01059887 -0.13839996  0.08950136],"[[0.24717119]
 [0.95782006]
 [0.14658492]]",[1.64573649],
66,"[[ 25.15693949  33.65382113   7.30270405]
 [ 33.65382113 148.5738856   17.92551217]
 [  7.30270405  17.92551217  30.76267206]]",[0.47811861 0.38135288 0.29041648],[ 0.1139977  -0.14066285 -0.00468182],[-0.01101997 -0.13848079  0.08946793],"[[0.24700352]
 [0.9578288 ]
 [0.14681026]]",[1.65179763],
67,"[[ 25.35721347  33.9912678    7.41751227]
 [ 33.9912678  148.34512376  18.01837597]
 [  7.41751227  18.01837597  30.86613558]]",[0.4792581  0.37987431 0.29036619],[ 0.12424896 -0.16471847 -0.0079433 ],[-0.01118193 -0.13850527  0.08967457],"[[0.249735  ]
 [0.95695687]
 [0.14787152]]",[1.64747542],
68,"[[ 23.7916072   30.3803596    7.63769357]
 [ 30.3803596  150.64826643  16.21992774]
 [  7.63769357  16.21992774  34.84330114]]",[0.4804643  0.37824784 0.29034637],[ 1.17576520e-01 -1.59566821e-01 -8.42974409e-06],[ 0.00067989 -0.12419168  0.10689459],"[[0.22299139]
 [0.9649088 ]
 [0.13865731]]",[1.67511325],
69,"[[ 25.21850779  32.79188374   8.47481633]
 [ 32.79188374 149.45154006  15.74247688]
 [  8.47481633  15.74247688  36.13714676]]",[0.48318971 0.37492417 0.29076008],[ 0.09264345 -0.09756419  0.01972677],[ 0.00202446 -0.12031079  0.11115525],"[[0.24233886]
 [0.96023717]
 [0.13862339]]",[1.59328248],
70,"[[ 25.77043852  34.42537975   7.65382812]
 [ 34.42537975 148.5716395   16.23105819]
 [  7.65382812  16.23105819  32.21832173]]",[0.48554548 0.37269543 0.29133976],[ 0.09983514 -0.09162979  0.0277582 ],[-0.00663648 -0.13149432  0.09773636],"[[0.25340309]
 [0.95763639]
 [0.13681895]]",[1.55752367],
71,"[[ 25.22020427  33.24539011   7.61588689]
 [ 33.24539011 149.33780127  15.81779099]
 [  7.61588689  15.81779099  32.35842506]]",[0.48702255 0.37115264 0.29181609],[ 0.07675381 -0.08504562  0.02160613],[-0.00351528 -0.13130848  0.09967961],"[[0.24444939]
 [0.96041381]
 [0.13360321]]",[1.58816734],
72,"[[ 26.77423177  35.65776019   8.38016782]
 [ 35.65776019 147.73871484  16.37515948]
 [  8.38016782  16.37515948  31.91752703]]",[0.48871453 0.36891021 0.29200711],[ 0.09241644 -0.13707967 -0.00453062],[-0.00412451 -0.13513965  0.09732011],"[[0.26419493]
 [0.95435678]
 [0.13929886]]",[1.56802236],
73,"[[ 28.16649969  37.78910628   8.79320773]
 [ 37.78910628 146.34476531  16.49193304]
 [  8.79320773  16.49193304  31.37981903]]",[0.49056046 0.36609917 0.29185358],[ 0.10158086 -0.15856723 -0.01231391],[-0.00598478 -0.13801043  0.09528286],"[[0.28147129]
 [0.94916175]
 [0.14094637]]",[1.54597239],
74,"[[ 28.85293708  38.89203007   8.79588355]
 [ 38.89203007 145.76805375  15.97830347]
 [  8.79588355  15.97830347  31.38365245]]",[0.49194822 0.3639908  0.29171376],[ 0.08012712 -0.11989963 -0.00565918],[-0.00732239 -0.13730935  0.09635879],"[[0.29007911]
 [0.947074  ]
 [0.13749526]]",[1.53378107],
75,"[[ 28.71572609  38.75147767   8.83047624]
 [ 38.75147767 145.7511468   16.33663069]
 [  8.83047624  16.33663069  31.72636183]]",[0.49328654 0.36219963 0.29175266],[ 0.08339806 -0.10766751  0.00497593],[-0.00788211 -0.13708703  0.09710905],"[[0.28897016]
 [0.94697243]
 [0.14049717]]",[1.52037874],
76,"[[ 30.2258146   40.47276756  10.17732803]
 [ 40.47276756 143.85626402  17.91854635]
 [ 10.17732803  17.91854635  32.86354985]]",[0.49595511 0.35843078 0.29172947],[ 0.08757665 -0.13470756 -0.00344111],[-0.00701372 -0.13824753  0.09769471],"[[0.30523123]
 [0.93927785]
 [0.15681523]]",[1.47859118],
77,"[[ 30.17702798  40.32070261  10.25465794]
 [ 40.32070261 143.94056989  17.94852105]
 [ 10.25465794  17.94852105  32.9020579 ]]",[0.49678373 0.35713062 0.29170568],[ 0.08188482 -0.12967946 -0.00156721],[-0.00612949 -0.13810984  0.09760863],"[[0.30422246]
 [0.93953656]
 [0.15722512]]",[1.46613105],
78,"[[ 30.45774802  40.63914439  10.17602572]
 [ 40.63914439 144.02325873  16.99559843]
 [ 10.17602572  16.99559843  32.93300564]]",[0.49785116 0.35548625 0.29165785],[ 0.08398587 -0.12715808 -0.00663112],[-0.00491835 -0.13603451  0.09940331],"[[0.30665815]
 [0.93988272]
 [0.15027058]]",[1.452749],
79,"[[ 30.84026299  41.01783081  10.33819778]
 [ 41.01783081 143.89216659  16.40376816]
 [ 10.33819778  16.40376816  33.40269296]]",[0.49897532 0.35387056 0.29160531],[ 0.10396197 -0.14972252 -0.00656783],[-0.00336201 -0.13382811  0.10203777],"[[0.31005951]
 [0.93927965]
 [0.14702668]]",[1.43785802],
