,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
0,"[[76.36935787 54.58602566 36.28216124]
 [54.58602566 90.62521813 26.75601027]
 [36.28216124 26.75601027 39.25439705]]",[0.43087309 0.45597224 0.28314652],[0.00073159 0.00109582 0.00110038],[-0.00478592 -0.19743145  0.04336097],"[[0.63643519]
 [0.68399477]
 [0.35651283]]",[4.07741224],True
1,"[[77.96232813 56.2956197  37.17393051]
 [56.2956197  92.46025727 27.71310502]
 [37.17393051 27.71310502 39.75358814]]",[0.43088374 0.45596909 0.28314959],[ 0.00223572 -0.00124682  0.00070619],[-0.00478846 -0.19743183  0.0433597 ],"[[0.63644848]
 [0.68398139]
 [0.35651478]]",[4.07746947],
2,"[[78.28245448 56.6070817  37.33484894]
 [56.6070817  92.77155429 27.86649084]
 [37.33484894 27.86649084 39.8333914 ]]",[0.43091344 0.45583136 0.28305921],[ 0.00210042 -0.02209998 -0.01607725],[-0.00479045 -0.19743854  0.04338364],"[[0.63663444]
 [0.68385973]
 [0.35641613]]",[4.07639437],
3,"[[78.37283718 56.61585186 37.3436004 ]
 [56.61585186 92.72344324 27.82081581]
 [37.3436004  27.82081581 39.81548338]]",[0.43091257 0.45538075 0.28281141],[ 0.0006858  -0.05253633 -0.0287328 ],[-0.00477848 -0.19746358  0.04345895],"[[0.63711208]
 [0.6835199 ]
 [0.35621447]]",[4.07242514],
4,"[[78.46357691 56.61246913 37.37344352]
 [56.61246913 92.65681424 27.78811011]
 [37.37344352 27.78811011 39.82196051]]",[0.43088469 0.45482793 0.28266785],[ 0.00034414 -0.05697143 -0.00750995],[-0.0047679  -0.19750307  0.04351933],"[[0.63759932]
 [0.68305002]
 [0.35624397]]",[4.06795863],
5,"[[78.52719966 56.5842559  37.44132077]
 [56.5842559  92.56358836 27.7974021 ]
 [37.44132077 27.7974021  39.88023011]]",[0.43091497 0.45432058 0.28286726],[ 0.00616605 -0.05074982  0.02317164],[-0.00479109 -0.19755671  0.04350031],"[[0.6379668 ]
 [0.68241854]
 [0.35679588]]",[4.06539891],
6,"[[78.61460283 56.55873015 37.51073759]
 [56.55873015 92.45686126 27.7946993 ]
 [37.51073759 27.7946993  39.93276853]]",[0.43097201 0.45372308 0.28301361],[ 0.00415996 -0.06065468  0.01170248],[-0.00481774 -0.19761517  0.04349501],"[[0.63846179]
 [0.68169661]
 [0.35729019]]",[4.06221011],
7,"[[78.69248037 56.5500654  37.54666921]
 [56.5500654  92.38728562 27.77449288]
 [37.54666921 27.77449288 39.94988913]]",[0.43099697 0.45325877 0.28297966],[ 0.00440137 -0.07667808 -0.00219612],[-0.00482508 -0.19765297  0.04352368],"[[0.63888875]
 [0.68121893]
 [0.35743802]]",[4.05908414],
8,"[[79.06636843 56.50565074 37.71911519]
 [56.50565074 92.0568695  27.67436557]
 [37.71911519 27.67436557 40.03257419]]",[0.43103679 0.45095699 0.28276983],[ 0.00155452 -0.09138417  0.00707103],[-0.0048413  -0.19783994  0.04368057],"[[0.64093266]
 [0.67892704]
 [0.35813881]]",[4.04293437],
9,"[[79.18459615 56.47573952 37.7998591 ]
 [56.47573952 91.92953925 27.65829593]
 [37.7998591  27.65829593 40.08909986]]",[0.43101559 0.45010482 0.28283261],[-0.00205753 -0.09591828  0.00488072],[-0.00484858 -0.19791739  0.04371116],"[[0.64158886]
 [0.67803788]
 [0.35864797]]",[4.0372417],
