,D,eigen_values_obs,pos,vel,des_vel,normals,dists
13,"[[13.49132585 -2.90449906 -0.77040639]
 [-2.90449906 58.15828792 -0.46089183]
 [-0.77040639 -0.46089183 12.4929652 ]]","[[60.          0.          0.        ]
 [ 0.         13.64794188  0.        ]
 [ 0.          0.         12.        ]]",[0.3904633  0.44643155 0.17678187],[ 0.07328019 -0.10656668  0.02829653],[-0.02930541 -0.1659646   0.02593988],"[[-0.08609217]
 [ 0.99627769]
 [ 0.00434834]]",[5.02530336]
14,"[[13.49546484 -2.98076041 -0.77699466]
 [-2.98076041 58.25612834 -0.41733472]
 [-0.77699466 -0.41733472 12.49957917]]","[[60.          0.          0.        ]
 [ 0.         13.65698356  0.        ]
 [ 0.          0.         12.        ]]",[0.39112073 0.44548435 0.1770629 ],[ 0.07316028 -0.10452138  0.03240679],[-0.02927986 -0.16580898  0.02614496],"[[-0.08614903]
 [ 0.99627188]
 [ 0.00454882]]",[4.99780293]
15,"[[13.50362582 -3.04315098 -0.78167583]
 [-3.04315098 58.34642152 -0.38011382]
 [-0.78167583 -0.38011382 12.50216216]]","[[60.          0.          0.        ]
 [ 0.         13.66701463  0.        ]
 [ 0.          0.         12.        ]]",[0.39185179 0.44446637 0.17741814],[ 0.07361509 -0.10258412  0.03559321],[-0.02936653 -0.16566308  0.02625674],"[[-0.08608316]
 [ 0.99627727]
 [ 0.00461488]]",[4.97173109]
16,"[[13.51548171 -3.10629072 -0.7848061 ]
 [-3.10629072 58.44075604 -0.35272506]
 [-0.7848061  -0.35272506 12.50241396]]","[[60.          0.          0.        ]
 [ 0.         13.67852557  0.        ]
 [ 0.          0.         12.        ]]",[0.39269983 0.44331896 0.17782203],[ 0.07578193 -0.10367977  0.03617854],[-0.02951843 -0.16548211  0.02634692],"[[-0.08599289]
 [ 0.99628605]
 [ 0.00439736]]",[4.94349653]
17,"[[13.52891646 -3.17082066 -0.79023255]
 [-3.17082066 58.52849909 -0.31652779]
 [-0.79023255 -0.31652779 12.5041404 ]]","[[60.         0.         0.       ]
 [ 0.        13.6924566  0.       ]
 [ 0.         0.        12.       ]]",[0.39351473 0.44220896 0.17818905],[ 0.08409391 -0.11087177  0.03871351],[-0.02966732 -0.16531078  0.02643588],"[[-0.08603315]
 [ 0.99628239]
 [ 0.00443859]]",[4.91589467]
18,"[[13.54397032 -3.24908943 -0.79742594]
 [-3.24908943 58.62756596 -0.27474317]
 [-0.79742594 -0.27474317 12.50769319]]","[[60.          0.          0.        ]
 [ 0.         13.70906342  0.        ]
 [ 0.          0.         12.        ]]",[0.3944324  0.44096414 0.17859497],[ 0.08269997 -0.11217751  0.03673728],[-0.0298043  -0.16510509  0.0265744 ],"[[-0.08617319]
 [ 0.99626996]
 [ 0.00451145]]",[4.88310235]
19,"[[13.54868141 -3.28833009 -0.8006953 ]
 [-3.28833009 58.69017277 -0.25388034]
 [-0.8006953  -0.25388034 12.51012862]]","[[60.          0.          0.        ]
 [ 0.         13.71647798  0.        ]
 [ 0.          0.         12.        ]]",[0.39501704 0.44018338 0.17886307],[ 0.08296213 -0.10831102  0.04098467],[-0.02986902 -0.16496323  0.02668144],"[[-0.08603504]
 [ 0.9962822 ]
 [ 0.00444478]]",[4.86208561]
20,"[[13.5597495  -3.36169185 -0.80908449]
 [-3.36169185 58.78791727 -0.20906042]
 [-0.80908449 -0.20906042 12.51613881]]","[[60.          0.          0.        ]
 [ 0.         13.73237406  0.        ]
 [ 0.          0.         12.        ]]",[0.39599459 0.43887059 0.17930041],[ 0.07985711 -0.11031482  0.03367669],[-0.02996306 -0.16473643  0.02686769],"[[-0.0860714 ]
 [ 0.99627832]
 [ 0.00460658]]",[4.82707124]
21,"[[13.57012103 -3.42627156 -0.81719045]
 [-3.42627156 58.87216185 -0.16907535]
 [-0.81719045 -0.16907535 12.52206918]]","[[60.          0.          0.        ]
 [ 0.         13.74751812  0.        ]
 [ 0.          0.         12.        ]]",[0.3968827  0.43766604 0.17967539],[ 0.07914991 -0.10886996  0.03173505],[-0.03004916 -0.16452801  0.02704259],"[[-0.08612994]
 [ 0.9962725 ]
 [ 0.00476937]]",[4.79501743]
22,"[[13.57914274 -3.4810922  -0.82414841]
 [-3.4810922  58.94681789 -0.13624886]
 [-0.82414841 -0.13624886 12.52724185]]","[[60.          0.          0.        ]
 [ 0.         13.76108428  0.        ]
 [ 0.          0.         12.        ]]",[0.39773668 0.43654485 0.18005964],[ 0.08692664 -0.11218163  0.04138757],[-0.03013463 -0.16432856  0.02720256],"[[-0.08613249]
 [ 0.99627188]
 [ 0.00485058]]",[4.76511516]
