,D,eigen_values_obs,pos,vel,des_vel,normals,dists
17,"[[13.26034752  6.49243297 -1.27763413]
 [ 6.49243297 45.44449464 -6.58148155]
 [-1.27763413 -6.58148155 13.29515784]]",,[0.39699905 0.43827907 0.17422155],[ 0.05106486 -0.10758187  0.00825741],[-0.0310152  -0.15976872  0.0314406 ],"[[ 0.05387094]
 [ 0.99850436]
 [-0.00932565]]",[4.28629405]
18,"[[13.26530913  6.50158387 -1.29596624]
 [ 6.50158387 45.40732473 -6.65911044]
 [-1.29596624 -6.65911044 13.32736615]]",,[0.39755643 0.43705321 0.17427949],[ 0.05853619 -0.12534525  0.00844859],[-0.03099305 -0.15925272  0.03174398],"[[ 0.05738959]
 [ 0.99821649]
 [-0.01643975]]",[4.24420962]
19,"[[13.28634431  6.55150901 -1.3158431 ]
 [ 6.55150901 45.36763732 -6.70174999]
 [-1.3158431  -6.70174999 13.34601838]]",,[0.39814657 0.43576038 0.17431549],[ 0.06093314 -0.13157637  0.00409507],[-0.03126008 -0.15921142  0.03197695],"[[ 0.05395498]
 [ 0.99849906]
 [-0.00940706]]",[4.2186256]
20,"[[13.32153707  6.63603515 -1.33862311]
 [ 6.63603515 45.32253288 -6.72183187]
 [-1.33862311 -6.72183187 13.35593005]]",,[0.39875063 0.43451887 0.17438291],[ 0.06021691 -0.12162388  0.00938907],[-0.0317558  -0.15946025  0.03216637],"[[0.05684443]
 [0.99831663]
 [0.01151575]]",[4.20022101]
21,"[[13.34475524  6.68958408 -1.36098746]
 [ 6.68958408 45.27782914 -6.77033245]
 [-1.36098746 -6.77033245 13.37741562]]",,[0.39932641 0.43337335 0.17446769],[ 0.05565077 -0.11184969  0.00927417],[-0.03200129 -0.15919278  0.03238757],"[[0.05590813]
 [0.99838105]
 [0.01046688]]",[4.16173894]
22,"[[13.35357907  6.70894031 -1.37360483]
 [ 6.70894031 45.25249406 -6.8081969 ]
 [-1.37360483 -6.8081969  13.39392687]]",,[0.39989405 0.43224569 0.17453976],[ 0.05879802 -0.11489907  0.00801261],[-0.03208988 -0.1590517   0.03256463],"[[0.05675541]
 [0.99831751]
 [0.01187314]]",[4.13087174]
23,"[[13.37359097  6.75304846 -1.39959252]
 [ 6.75304846 45.20032276 -6.88088109]
 [-1.39959252 -6.88088109 13.42608627]]",,[0.40039891 0.43119558 0.17458883],[ 0.05694127 -0.11827965  0.005924  ],[-0.03226469 -0.15862438  0.03287545],"[[0.05313126]
 [0.99856089]
 [0.00729524]]",[4.09409815]
24,"[[13.36991287  6.74125816 -1.4126714 ]
 [ 6.74125816 45.17332259 -6.9516703 ]
 [-1.4126714  -6.9516703  13.45676454]]",,[0.40103611 0.42984466 0.17465632],[ 0.05626781 -0.12294774  0.00691454],[-0.03210142 -0.15796914  0.03310339],"[[ 0.05815094]
 [ 0.99829082]
 [-0.00582248]]",[4.05033549]
25,"[[13.36927007  6.73862422 -1.417662  ]
 [ 6.73862422 45.16296576 -6.97677668]
 [-1.417662   -6.97677668 13.46776417]]",,[0.40160123 0.42859172 0.1747292 ],[ 0.05761066 -0.12602106  0.00918836],[-0.03206395 -0.15779716  0.03319714],"[[ 0.05836446]
 [ 0.99827812]
 [-0.00586306]]",[4.02988365]
26,"[[13.32672922  6.63666893 -1.39880918]
 [ 6.63666893 45.1984656  -6.99723295]
 [-1.39880918 -6.99723295 13.47480518]]",,[0.40216543 0.42736568 0.17482369],[ 0.0547882  -0.11928819  0.01198502],[-0.03163511 -0.1582476   0.03335381],"[[0.05916312]
 [0.99818475]
 [0.01126596]]",[4.021908]
27,"[[13.31642505  6.60750603 -1.41392746]
 [ 6.60750603 45.16492347 -7.09689793]
 [-1.41392746 -7.09689793 13.51865149]]",,[0.40274511 0.42618756 0.17492583],[ 0.05996643 -0.11501145  0.01218624],[-0.03141149 -0.15766307  0.03373801],"[[0.0614154 ]
 [0.99811055]
 [0.00186473]]",[3.98510665]
28,"[[13.34154689  6.66514541 -1.43936679]
 [ 6.66514541 45.11413382 -7.15113946]
 [-1.43936679 -7.15113946 13.54431929]]",,[0.40338448 0.42499847 0.17505518],[ 0.06510957 -0.12020016  0.01257862],[-0.03173466 -0.15766585  0.03404862],"[[0.05899802]
 [0.99820724]
 [0.01007672]]",[3.96362659]
29,"[[13.34910018  6.67830119 -1.4655471 ]
 [ 6.67830119 45.05885475 -7.25473547]
 [-1.4655471  -7.25473547 13.59204507]]",,[0.40434056 0.42333086 0.17523314],[ 0.07381805 -0.12947398  0.01254902],[-0.03171003 -0.15697066  0.03444707],"[[ 6.14744845e-02]
 [ 9.98108634e-01]
 [-2.04718442e-04]]",[3.91324865]
30,"[[13.3597309   6.7023175  -1.47661241]
 [ 6.7023175  45.03672812 -7.27844403]
 [-1.47661241 -7.27844403 13.60354098]]",,[0.40489045 0.42238907 0.17532101],[ 0.07765101 -0.13494239  0.01098341],[-0.03180793 -0.15678605  0.03454212],"[[ 6.22331249e-02]
 [ 9.98061488e-01]
 [-5.51728027e-04]]",[3.89484382]
31,"[[13.3708558   6.72628117 -1.49288477]
 [ 6.72628117 45.00336784 -7.32503209]
 [-1.49288477 -7.32503209 13.62577635]]",,[0.40567858 0.42104654 0.17545004],[ 0.07487192 -0.13214104  0.01441717],[-0.03190168 -0.15652974  0.03474146],"[[ 6.20260097e-02]
 [ 9.98074461e-01]
 [-3.79922799e-04]]",[3.86568238]
32,"[[13.4028702   6.79872933 -1.520711  ]
 [ 6.79872933 44.9486794  -7.36982114]
 [-1.520711   -7.36982114 13.64845039]]",,[0.40643776 0.4197336  0.17558359],[ 0.07790535 -0.13126707  0.01382109],[-0.03230962 -0.15658211  0.03502362],"[[0.05820727]
 [0.99824629]
 [0.01078245]]",[3.84354717]
33,"[[13.42333065  6.84121509 -1.55300014]
 [ 6.84121509 44.88218647 -7.46446931]
 [-1.55300014 -7.46446931 13.69448288]]",,[0.40718592 0.41845317 0.17570636],[ 0.07491339 -0.12745981  0.01132128],[-0.03249708 -0.15619668  0.03545766],"[[0.05802671]
 [0.9982605 ]
 [0.01043447]]",[3.80642537]
34,"[[13.43953345  6.87441484 -1.57904031]
 [ 6.87441484 44.8283996  -7.54062239]
 [-1.57904031 -7.54062239 13.73206695]]",,[0.40794797 0.41718401 0.17580725],[ 0.07475154 -0.12583634  0.00880227],[-0.03264778 -0.15590773  0.03581172],"[[0.05811722]
 [0.99825714]
 [0.01025075]]",[3.77154163]
35,"[[13.44880515  6.89240719 -1.59770837]
 [ 6.89240719 44.7892795  -7.60078516]
 [-1.59770837 -7.60078516 13.76191536]]",,[0.40876745 0.41591371 0.17591424],[ 0.08142646 -0.1252899   0.01111066],[-0.03272305 -0.15567353  0.03608622],"[[0.05808907]
 [0.99826255]
 [0.00987616]]",[3.73962587]
36,"[[13.46297305  6.92025053 -1.62384493]
 [ 6.92025053 44.7346203  -7.68121717]
 [-1.62384493 -7.68121717 13.80240665]]",,[0.4099087  0.41426358 0.1760923 ],[ 0.08812257 -0.12678194  0.01478718],[-0.03284411 -0.15536133  0.03645572],"[[0.05691491]
 [0.99830782]
 [0.0119245 ]]",[3.70083705]
37,"[[13.4691455   6.93205512 -1.63629502]
 [ 6.93205512 44.7083928  -7.72073785]
 [-1.63629502 -7.72073785 13.82246169]]",,[0.41050196 0.4133751  0.17617253],[ 0.08489015 -0.12602866  0.01128543],[-0.03288819 -0.15518049  0.03662998],"[[0.05684712]
 [0.99831029]
 [0.01204058]]",[3.67887024]
38,"[[13.47680577  6.94590477 -1.65482914]
 [ 6.94590477 44.66888168 -7.78320739]
 [-1.65482914 -7.78320739 13.85431255]]",,[0.41129262 0.41210215 0.1762627 ],[ 0.08064237 -0.12870959  0.00954005],[-0.03292926 -0.15487717  0.03689876],"[[0.05741355]
 [0.99828745]
 [0.01121872]]",[3.64840317]
39,"[[13.48317209  6.95769048 -1.66881364]
 [ 6.95769048 44.63913686 -7.82855129]
 [-1.66881364 -7.82855129 13.87769105]]",,[0.41183389 0.411183   0.17632286],[ 0.07869462 -0.13225882  0.00925625],[-0.03297079 -0.15466888  0.03709759],"[[0.05727366]
 [0.99829767]
 [0.01102228]]",[3.62762526]
40,"[[13.49799149  6.98387924 -1.70562189]
 [ 6.98387924 44.55997743 -7.95188581]
 [-1.70562189 -7.95188581 13.94203107]]",,[0.41308392 0.40900035 0.17644624],[ 0.08525308 -0.15011927  0.00747086],[-0.03305996 -0.15413088  0.03764226],"[[0.05754579]
 [0.99828889]
 [0.01038159]]",[3.57547884]
41,"[[13.50733981  7.00046482 -1.72790399]
 [ 7.00046482 44.51191757 -8.0248203 ]
 [-1.72790399 -8.0248203  13.98074262]]",,[0.41376771 0.4077541  0.17649032],[ 0.08413711 -0.15531709  0.00386245],[-0.03311999 -0.15381754  0.03796633],"[[0.05752469]
 [0.99829396]
 [0.01000378]]",[3.54553687]
42,"[[13.54015303  7.0644459  -1.77961847]
 [ 7.0644459  44.4035306  -8.16283716]
 [-1.77961847 -8.16283716 14.05631637]]",,[0.41506208 0.40535984 0.17658858],[ 0.08219661 -0.14451513  0.00918837],[-0.03337844 -0.15310179  0.03856817],"[[0.0591291 ]
 [0.99822686]
 [0.00684692]]",[3.48849503]
43,"[[13.55176377  7.08628434 -1.80002752]
 [ 7.08628434 44.36022571 -8.22000558]
 [-1.80002752 -8.22000558 14.08801052]]",,[0.41577094 0.4041168  0.17666855],[ 0.07961078 -0.1354224   0.01007189],[-0.03346609 -0.15282626  0.03882027],"[[0.05934475]
 [0.99821466]
 [0.00675969]]",[3.46303294]
44,"[[13.55760579  7.0962568  -1.81405958]
 [ 7.0962568  44.32965671 -8.26462813]
 [-1.81405958 -8.26462813 14.1127375 ]]",,[0.41635281 0.40316036 0.17674339],[ 0.08374906 -0.13594886  0.01199811],[-0.03350316 -0.1526362   0.03901933],"[[0.06105777]
 [0.99810491]
 [0.00765043]]",[3.44357267]
45,"[[13.54527411  7.06388478 -1.82853154]
 [ 7.06388478 44.29101424 -8.35873458]
 [-1.82853154 -8.35873458 14.16371165]]",,[0.41687683 0.40231509 0.17681139],[ 0.08809574 -0.13949754  0.01313109],[-0.0333255  -0.15234027  0.03943425],"[[0.05766579]
 [0.99828498]
 [0.01008728]]",[3.42084673]
46,"[[13.550937    7.06592675 -1.87109746]
 [ 7.06592675 44.19171424 -8.52454844]
 [-1.87109746 -8.52454844 14.25734876]]",,[0.41819356 0.40026019 0.17701186],[ 0.0933987  -0.14715904  0.01516944],[-0.0332962  -0.15169443  0.04016954],"[[0.05752903]
 [0.99829234]
 [0.0101401 ]]",[3.36560045]
47,"[[13.54215286  7.04233894 -1.88274528]
 [ 7.04233894 44.15928784 -8.59767585]
 [-1.88274528 -8.59767585 14.2985593 ]]",,[0.41899198 0.39897076 0.17714193],[ 0.08805385 -0.14321917  0.01474046],[-0.03310057 -0.15115585  0.040411  ],"[[6.12878524e-02]
 [9.98119766e-01]
 [8.55247941e-04]]",[3.326653]
48,"[[13.55113703  7.05925718 -1.89783954]
 [ 7.05925718 44.12682769 -8.63710759]
 [-1.89783954 -8.63710759 14.32203528]]",,[0.41977288 0.39769334 0.17727397],[ 0.08628864 -0.14092194  0.01454871],[-0.03323772 -0.15126558  0.04066686],"[[0.05746427]
 [0.99829287]
 [0.01045016]]",[3.30636521]
49,"[[13.56246081  7.07558536 -1.93478607]
 [ 7.07558536 44.04170493 -8.76165593]
 [-1.93478607 -8.76165593 14.39583426]]",,[0.42066453 0.39625883 0.1774308 ],[ 0.09150084 -0.14234187  0.01906445],[-0.03329415 -0.15077217  0.04122795],"[[0.05743467]
 [0.99829186]
 [0.01070614]]",[3.26952554]
50,"[[13.57392373  7.09223701 -1.97083547]
 [ 7.09223701 43.95823593 -8.88075582]
 [-1.97083547 -8.88075582 14.46784034]]",,[0.42162347 0.39478613 0.17759705],[ 0.09572171 -0.14601316  0.01685087],[-0.03335575 -0.15030392  0.0417674 ],"[[0.05746109]
 [0.9982928 ]
 [0.01047457]]",[3.23098544]
51,"[[13.58235336  7.10335801 -2.00079578]
 [ 7.10335801 43.88775424 -8.98179198]
 [-2.00079578 -8.98179198 14.5298924 ]]",,[0.42261754 0.39331461 0.17777001],[ 0.0978209  -0.14621252  0.01608231],[-0.03339748 -0.14992494  0.04222921],"[[0.0573749 ]
 [0.99829623]
 [0.01061831]]",[3.19399747]
52,"[[13.58889829  7.10995033 -2.03084885]
 [ 7.10995033 43.81537416 -9.0875763 ]
 [-2.03084885 -9.0875763  14.59572755]]",,[0.42377697 0.39162891 0.17798322],[ 0.09678112 -0.13667832  0.01960022],[-0.03341393 -0.14951955  0.04270798],"[[0.05725385]
 [0.99830268]
 [0.01066595]]",[3.15329484]
