,D,eigen_values_obs,pos,vel,des_vel,normals,dists
14,"[[12.6641154   5.03839412 -0.22719521]
 [ 5.03839412 59.23344989  0.63694258]
 [-0.22719521  0.63694258 12.69625477]]","[[60.          0.          0.        ]
 [ 0.         12.80122614  0.        ]
 [ 0.          0.         12.        ]]",[0.39291715 0.44799919 0.17402687],[ 0.06604332 -0.1107798   0.00243201],[-0.03094022 -0.16155802  0.02975801],"[[0.10526153]
 [0.99432717]
 [0.01528039]]",[4.50166488]
15,"[[12.6241467   5.03823651 -0.18985521]
 [ 5.03823651 59.19314268  0.61353378]
 [-0.18985521  0.61353378 12.76376394]]","[[60.         0.         0.       ]
 [ 0.        12.8266341  0.       ]
 [ 0.         0.        12.       ]]",[0.39358155 0.44686991 0.1740855 ],[ 0.06637382 -0.11246745  0.00695478],[-0.02858415 -0.16203644  0.03129576],"[[0.10529683]
 [0.99432071]
 [0.01545628]]",[4.53263716]
16,"[[12.62097208  5.02896972 -0.1888391 ]
 [ 5.02896972 59.21703464  0.62757764]
 [-0.1888391   0.62757764 12.77428755]]","[[60.          0.          0.        ]
 [ 0.         12.83697544  0.        ]
 [ 0.          0.         12.        ]]",[0.39408979 0.44597766 0.17415106],[ 0.06127516 -0.10833088  0.01131185],[-0.02848868 -0.16193895  0.03152231],"[[0.10513425]
 [0.99433688]
 [0.0155231 ]]",[4.51573871]
17,"[[12.63157734  4.97410113 -0.22120616]
 [ 4.97410113 59.28884657  0.6043185 ]
 [-0.22120616  0.6043185  12.75601038]]","[[60.          0.          0.        ]
 [ 0.         12.84545064  0.        ]
 [ 0.          0.         12.        ]]",[0.39463895 0.44498236 0.17422761],[ 0.05934193 -0.10777421  0.00878945],[-0.02964588 -0.16117368  0.03129272],"[[0.10401355]
 [0.99447364]
 [0.01426075]]",[4.46575246]
18,"[[12.65423697  4.97545323 -0.24329924]
 [ 4.97545323 59.34296444  0.63086148]
 [-0.24329924  0.63086148 12.73816093]]","[[60.         0.         0.       ]
 [ 0.        12.8528738  0.       ]
 [ 0.         0.        12.       ]]",[0.39533798 0.44376606 0.1743287 ],[ 0.0687516  -0.11141062  0.01274853],[-0.03088792 -0.16059785  0.03088308],"[[0.10413871]
 [0.99446239]
 [0.01413109]]",[4.40939651]
19,"[[12.66712753  4.97409788 -0.25487155]
 [ 4.97409788 59.37415781  0.64038018]
 [-0.25487155  0.64038018 12.72485886]]","[[60.          0.          0.        ]
 [ 0.         12.85456964  0.        ]
 [ 0.          0.         12.        ]]",[0.39598678 0.44274574 0.17441308],[ 0.07664909 -0.11628688  0.01048634],[-0.03158387 -0.16038104  0.03061615],"[[0.10418706]
 [0.99445991]
 [0.01394795]]",[4.37041376]
20,"[[12.66790515  4.96792016 -0.25669795]
 [ 4.96792016 59.39387494  0.65252716]
 [-0.25669795  0.65252716 12.72717976]]","[[60.          0.          0.        ]
 [ 0.         12.85993788  0.        ]
 [ 0.          0.         12.        ]]",[0.39679216 0.4416027  0.17451794],[ 0.08210799 -0.11403626  0.01007677],[-0.03169175 -0.1603444   0.03067396],"[[0.10410406]
 [0.99446791]
 [0.01399697]]",[4.3429405]
21,"[[12.66839841  4.95995016 -0.26405785]
 [ 4.95995016 59.43716021  0.7015656 ]
 [-0.26405785  0.7015656  12.77039862]]","[[60.          0.          0.        ]
 [ 0.         12.90693627  0.        ]
 [ 0.          0.         12.        ]]",[0.4003413  0.43746936 0.17483143],[ 0.09581928 -0.10021067  0.00568421],[-0.03173288 -0.15974799  0.03149234],"[[0.10404319]
 [0.99446613]
 [0.01456456]]",[4.2568874]
22,"[[12.65950847  4.94125679 -0.25606096]
 [ 4.94125679 59.44222255  0.77722943]
 [-0.25606096  0.77722943 12.79677412]]","[[60.          0.          0.        ]
 [ 0.         12.92632849  0.        ]
 [ 0.          0.         12.        ]]",[0.40104636 0.43675763 0.17486849],[ 0.10126066 -0.10117158  0.00769694],[-0.0314193  -0.15975894  0.03176743],"[[0.10363798]
 [0.99448389]
 [0.0161542 ]]",[4.24742016]
23,"[[12.65738911  4.93806567 -0.25851147]
 [ 4.93806567 59.45027255  0.75829072]
 [-0.25851147  0.75829072 12.80557578]]","[[60.          0.          0.        ]
 [ 0.         12.93479726  0.        ]
 [ 0.          0.         12.        ]]",[0.40199149 0.4358055  0.17490507],[ 0.10651368 -0.1058362   0.00445708],[-0.03131663 -0.1596016   0.03203345],"[[0.1035871 ]
 [0.99449682]
 [0.01567744]]",[4.22658925]
