,D,eigen_values_obs,pos,vel,des_vel,normals,dists
18,"[[13.47696898  7.11721268 -0.57855834]
 [ 7.11721268 46.29639812 -2.78795479]
 [-0.57855834 -2.78795479 12.22663289]]",,[0.46380124 0.5006886  0.23802212],[ 0.06536443 -0.09858028 -0.00794923],[-0.03549991 -0.17106683  0.01390603],"[[0.05719074]
 [0.99658647]
 [0.0595368 ]]",[6.49637077]
19,"[[13.48521385  7.13564651 -0.5868451 ]
 [ 7.13564651 46.28290899 -2.81947225]
 [-0.5868451  -2.81947225 12.23187717]]",,[0.46472299 0.49935066 0.23792387],[ 0.07004307 -0.10212339 -0.00880391],[-0.03556986 -0.17089388  0.01405454],"[[0.05726029]
 [0.99663413]
 [0.05866574]]",[6.45637039]
20,"[[13.47703775  7.11619536 -0.5928594 ]
 [ 7.11619536 46.28499793 -2.85632735]
 [-0.5928594  -2.85632735 12.23796431]]",,[0.46535504 0.49842768 0.23784215],[ 0.07093287 -0.10448938 -0.00918901],[-0.0354649  -0.17086573  0.01423504],"[[0.0571267 ]
 [0.9965075 ]
 [0.06090443]]",[6.43363262]
21,"[[13.48038217  7.12317806 -0.60213046]
 [ 7.12317806 46.27470736 -2.89728055]
 [-0.60213046 -2.89728055 12.24491047]]",,[0.4660385  0.49742855 0.23775415],[ 0.06765179 -0.10026835 -0.01059523],[-0.03550247 -0.17082779  0.01444027],"[[0.0471508 ]
 [0.99694885]
 [0.0622076 ]]",[6.41200024]
22,"[[13.47685101  7.11462575 -0.60633972]
 [ 7.11462575 46.2742086  -2.92099893]
 [-0.60633972 -2.92099893 12.24894039]]",,[0.46677577 0.49636427 0.23765467],[ 0.06800907 -0.09681203 -0.00839956],[-0.03545708 -0.170812    0.01455735],"[[0.0569414 ]
 [0.99624804]
 [0.06517297]]",[6.39918201]
23,"[[13.48674169  7.13683816 -0.61468787]
 [ 7.13683816 46.25911788 -2.95069941]
 [-0.61468787 -2.95069941 12.25414043]]",,[0.46754821 0.49528173 0.23757624],[ 0.07153652 -0.09631937 -0.00323794],[-0.03555646 -0.17068243  0.01470069],"[[0.05704555]
 [0.99627786]
 [0.06462384]]",[6.37245233]
24,"[[13.49193044  7.14841309 -0.6195399 ]
 [ 7.14841309 46.25079906 -2.96845417]
 [-0.6195399  -2.96845417 12.2572705 ]]",,[0.46829931 0.49424286 0.2375143 ],[ 0.07440902 -0.10484361 -0.00713157],[-0.03559254 -0.17053755  0.01478018],"[[0.05344112]
 [0.99636562]
 [0.06632945]]",[6.3256412]
25,"[[13.50119564  7.16942224 -0.62356996]
 [ 7.16942224 46.23978449 -2.97805043]
 [-0.62356996 -2.97805043 12.25901987]]",,[0.46892617 0.49338933 0.23748084],[ 0.0775938  -0.10454833 -0.00286254],[-0.03568425 -0.17042113  0.0148226 ],"[[0.05356383]
 [0.99644005]
 [0.06510096]]",[6.30632123]
26,"[[13.51592557  7.20255494 -0.63126261]
 [ 7.20255494 46.22120369 -2.99929213]
 [-0.63126261 -2.99929213 12.26287074]]",,[0.46956689 0.49252188 0.23745414],[ 0.08246424 -0.10975906 -0.001252  ],[-0.03584719 -0.1703193   0.01492751],"[[0.05638036]
 [0.99648443]
 [0.06196804]]",[6.3042579]
27,"[[13.53076659  7.2355632  -0.64107415]
 [ 7.2355632  46.20075612 -3.03020233]
 [-0.64107415 -3.03020233 12.26847729]]",,[0.47036124 0.49145852 0.2374435 ],[ 0.07879631 -0.10537928 -0.00108904],[-0.03600716 -0.17019713  0.01507954],"[[0.04697154]
 [0.9969606 ]
 [0.062155  ]]",[6.27054492]
